Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"190,00","190,00","0,00",Eur / Tm.,,23-09-2013
Cereales,Trigo pienso,"180,00","180,00","0,00",Eur / Tm.,,23-09-2013
Cereales,Cebada,"170,00","170,00","0,00",Eur / Tm.,,23-09-2013
Cereales,Avena,"160,00","160,00","0,00",Eur / Tm.,,23-09-2013
Cereales,Centeno,"159,00","159,00","0,00",Eur / Tm.,,23-09-2013
Cereales,Maíz,"203,00","193,00","-10,00",Eur / Tm.,,23-09-2013
Leguminosas,Garbanzo pedrosillano,"650,00","650,00","0,00",Eur / Tm.,,23-09-2013
Leguminosas,Lenteja de Salamanca,"550,00","550,00","0,00",Eur / Tm.,,23-09-2013
Leguminosas,Lenteja armuña D.O.,"850,00","850,00","0,00",Eur / Tm.,,23-09-2013
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,23-09-2013
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,23-09-2013
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,23-09-2013
Oleaginosas,Guisantes,"237,00","0,00","-237,00",Eur / Tm.,,23-09-2013
Forrajes,Alfalfa empacada,"181,00","181,00","0,00",Eur / Tm.,,23-09-2013
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,23-09-2013
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,23-09-2013
Forrajes,Paja paquete grande,"31,00","31,00","0,00",Eur / Tm.,,23-09-2013
Lechazo,Extra,"6,10","6,00","-0,10",Eur / Kg. Vivo,,23-09-2013
Lechazo,Hasta 11 Kg,"5,25","5,15","-0,10",Eur / Kg. Vivo,,23-09-2013
Lechazo,"11,01 a 13 KG.","4,89","4,79","-0,10",Eur / Kg. Vivo,,23-09-2013
Lechazo,"13,01 a 15 KG.","4,35","4,25","-0,10",Eur / Kg. Vivo,,23-09-2013
Cordero,"15,01 a 19 KG.","3,65","3,60","-0,05",Eur / Kg. Vivo,,23-09-2013
Cordero,"19,01 a 23 KG.","3,06","3,06","0,00",Eur / Kg. Vivo,,23-09-2013
Cordero,"23,01 a 25,49 KG.","2,75","2,75","0,00",Eur / Kg. Vivo,,23-09-2013
Cordero,"25,5 a 28 KG.","2,65","2,65","0,00",Eur / Kg. Vivo,,23-09-2013
