Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"146,00","145,00","-1,00",Eur / Tm.,,06-03-2006
Cereales,Trigo pienso,"0,00","135,00","135,00",Eur / Tm.,,06-03-2006
Cereales,Cebada,"140,00","138,00","-2,00",Eur / Tm.,,06-03-2006
Cereales,Avena,"145,00","144,00","-1,00",Eur / Tm.,,06-03-2006
Cereales,Centeno,"0,00","0,00","0,00",Eur / Tm.,,06-03-2006
Cereales,Maíz,"142,00","141,00","-1,00",Eur / Tm.,,06-03-2006
Leguminosas,Garbanzo pedrosillano,"600,00","600,00","0,00",Eur / Tm.,,06-03-2006
Leguminosas,Lenteja de Salamanca,"0,00","0,00","0,00",Eur / Tm.,,06-03-2006
Leguminosas,Lenteja armuña D.O.,"0,00","0,00","0,00",Eur / Tm.,,06-03-2006
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,06-03-2006
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,06-03-2006
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,06-03-2006
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,06-03-2006
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,06-03-2006
Forrajes,Paja paquete grande,"100,00","99,00","-1,00",Eur / Tm.,,06-03-2006
Lechazo,Hasta 11 Kg,"3,00","3,10","0,10",Eur / Kg. Vivo,,06-03-2006
Lechazo,"11,01 a 13 KG.","2,80","2,80","0,00",Eur / Kg. Vivo,,06-03-2006
Lechazo,"13,01 a 15 KG.","2,60","2,60","0,00",Eur / Kg. Vivo,,06-03-2006
Cordero,"15,01 a 19 KG.","2,40","2,20","-0,20",Eur / Kg. Vivo,,06-03-2006
Cordero,"19,01 a 23 KG.","2,20","2,00","-0,20",Eur / Kg. Vivo,,06-03-2006
Cordero,"23,01 a 25,49 KG.","2,10","1,90","-0,20",Eur / Kg. Vivo,,06-03-2006
Cordero,"25,5 a 28 KG.","1,90","1,70","-0,20",Eur / Kg. Vivo,,06-03-2006
Cordero,"28,01 a 34 KG.","1,80","1,60","-0,20",Eur / Kg. Vivo,,06-03-2006
Oveja,Sacrificio,"3,00 / 6,00","3,00 / 6,00","0,00",Eur / Unidad,,06-03-2006
Porcino blanco,Selecto,"1,16 / 1,17","1,16 / 1,17","0,00",Eur / Kg. Vivo,,06-03-2006
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,06-03-2006
Porcino blanco,Normal,"1,15 / 1,16","1,15 / 1,16","0,00",Eur / Kg. Vivo,,06-03-2006
Porcino blanco,Graso,"1,21 / 1,22","1,21 / 1,22","0,00",Eur / Kg. Vivo,,06-03-2006
