Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"238,00","228,00","-10,00",Eur / Tm.,,05-05-2008
Cereales,Trigo pienso,"227,00","217,00","-10,00",Eur / Tm.,,05-05-2008
Cereales,Cebada,"197,00","187,00","-10,00",Eur / Tm.,,05-05-2008
Cereales,Avena,"200,00","200,00","0,00",Eur / Tm.,,05-05-2008
Cereales,Centeno,"0,00","0,00","0,00",Eur / Tm.,,05-05-2008
Cereales,Maíz,"218,00","213,00","-5,00",Eur / Tm.,,05-05-2008
Leguminosas,Garbanzo pedrosillano,"600,00","600,00","0,00",Eur / Tm.,,05-05-2008
Leguminosas,Lenteja de Salamanca,"860,00","860,00","0,00",Eur / Tm.,,05-05-2008
Leguminosas,Lenteja armuña D.O.,"990,00","990,00","0,00",Eur / Tm.,,05-05-2008
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,05-05-2008
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,05-05-2008
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,05-05-2008
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,05-05-2008
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,05-05-2008
Forrajes,Paja paquete grande,"36,00","36,00","0,00",Eur / Tm.,,05-05-2008
Lechazo,Hasta 11 Kg,"3,05","3,55","0,50",Eur / Kg. Vivo,,05-05-2008
Lechazo,"11,01 a 13 KG.","2,70","3,25","0,55",Eur / Kg. Vivo,,05-05-2008
Lechazo,"13,01 a 15 KG.","2,15","2,25","0,10",Eur / Kg. Vivo,,05-05-2008
Cordero,"15,01 a 19 KG.","1,90","1,90","0,00",Eur / Kg. Vivo,,05-05-2008
Cordero,"19,01 a 23 KG.","1,80","1,80","0,00",Eur / Kg. Vivo,,05-05-2008
Cordero,"23,01 a 25,49 KG.","1,75","1,75","0,00",Eur / Kg. Vivo,,05-05-2008
