Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"253,00","247,00","-6,00",Eur / Tm.,,04-02-2008
Cereales,Trigo pienso,"241,00","235,00","-6,00",Eur / Tm.,,04-02-2008
Cereales,Cebada,"230,00","227,00","-3,00",Eur / Tm.,,04-02-2008
Cereales,Avena,"200,00","203,00","3,00",Eur / Tm.,,04-02-2008
Cereales,Centeno,"235,00","235,00","0,00",Eur / Tm.,,04-02-2008
Cereales,Maíz,"232,00","229,00","-3,00",Eur / Tm.,,04-02-2008
Leguminosas,Garbanzo pedrosillano,"550,00","550,00","0,00",Eur / Tm.,,04-02-2008
Leguminosas,Lenteja de Salamanca,"1000,00","1000,00","0,00",Eur / Tm.,,04-02-2008
Leguminosas,Lenteja armuña D.O.,"1200,00","1200,00","0,00",Eur / Tm.,,04-02-2008
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,04-02-2008
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,04-02-2008
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,04-02-2008
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,04-02-2008
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,04-02-2008
Forrajes,Paja paquete grande,"40,00","40,00","0,00",Eur / Tm.,,04-02-2008
Lechazo,Hasta 11 Kg,"2,85","3,10","0,25",Eur / Kg. Vivo,,04-02-2008
Lechazo,"11,01 a 13 KG.","2,75","3,00","0,25",Eur / Kg. Vivo,,04-02-2008
Lechazo,"13,01 a 15 KG.","2,25","2,45","0,20",Eur / Kg. Vivo,,04-02-2008
Cordero,"15,01 a 19 KG.","2,30","2,30","0,00",Eur / Kg. Vivo,,04-02-2008
Cordero,"19,01 a 23 KG.","2,35","2,20","-0,15",Eur / Kg. Vivo,,04-02-2008
Cordero,"23,01 a 25,49 KG.","2,15","2,15","0,00",Eur / Kg. Vivo,,04-02-2008
Cordero,"25,5 a 28 KG.","1,95","1,95","0,00",Eur / Kg. Vivo,,04-02-2008
Cordero,"28,01 a 34 KG.","1,80","1,80","0,00",Eur / Kg. Vivo,,04-02-2008
Oveja,Sacrificio,"3,00 / 6,00","3,00 / 6,00","0,00",Eur / Unidad,,04-02-2008
Porcino blanco,Selecto,"1,04 / 1,05","1,05 / 1,06","0,01",Eur / Kg. Vivo,,04-02-2008
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,04-02-2008
Porcino blanco,Normal,"1,03 / 1,04","1,04 / 1,05","0,01",Eur / Kg. Vivo,,04-02-2008
Porcino blanco,Graso,"1,08 / 1,09","1,09 / 1,10","0,01",Eur / Kg. Vivo,,04-02-2008
Porcino blanco,Cerdas,"0,41 / 0,44","0,41 / 0,44","0,00",Eur / Kg. Vivo,,04-02-2008
Lechón,Selecto,"35,00","36,00","1,00",Eur / Unidad,,04-02-2008
Tostón, 4 A 6 Kg,"10,00","11,00","1,00",Eur / Unidad,,04-02-2008
Tostón,"6,01 A 8 Kg","14,00","15,00","1,00",Eur / Unidad,,04-02-2008
Porcino Ibérico,Bellota 160-170 Kg,"2,18 / 2,39","2,11 / 2,32","-0,07",Eur / Kg. Vivo,,04-02-2008
Porcino Ibérico,Recebo 160-170 Kg,"1,49 / 1,97","1,42 / 1,90","-0,07",Eur / Kg. Vivo,,04-02-2008
Porcino Ibérico,Pienso 150 Kg,"1,19 / 1,25","1,15 / 1,21","-0,04",Eur / Kg. Vivo,,04-02-2008
Porcino Ibérico,Pienso 150 Kg extensivo,"1,25 / 1,31","1,21 / 1,27","-0,04",Eur / Kg. Vivo,,04-02-2008
Porcino Ibérico,Lechones Hasta 23 Kg,"0,82 / 0,94","0,82 / 0,94","0,00",Eur / Kg. Vivo,,04-02-2008
Porcino Ibérico,Marranos 30 - 60 Kg,"0,93 / 1,05","0,93 / 1,05","0,00",Eur / Kg. Vivo,,04-02-2008
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,04-02-2008
Porcino Ibérico,Tostones 5 - 7 Kg,"10,00 / 14,00","10,00 / 14,00","0,00",Eur / Kg. Vivo,,04-02-2008
Ternero cruzado,Extra macho,"2,20","2,20","0,00",Eur / Kg. Vivo,,04-02-2008
Ternero cruzado,Extra hembra,"2,16","2,16","0,00",Eur / Kg. Vivo,,04-02-2008
Ternero cruzado,Primera macho,"2,07","2,07","0,00",Eur / Kg. Vivo,,04-02-2008
Porcino Ibérico,Reproductoras,"210,00 / 270,00","210,00 / 270,00","0,00",Eur / Kg. Vivo,,04-02-2008
Ternero cruzado,Primera hembra,"2,07","2,07","0,00",Eur / Kg. Vivo,,04-02-2008
Ternero cruzado,Segunda macho,"1,68","1,68","0,00",Eur / Kg. Vivo,,04-02-2008
Ternero cruzado,Segunda hembra,"1,69","1,69","0,00",Eur / Kg. Vivo,,04-02-2008
Ternero del país,Macho,"1,13","1,13","0,00",Eur / Kg. Vivo,,04-02-2008
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,04-02-2008
Bovino menor 12 meses,Especial macho,"3,62","3,62","0,00",Eur / Kg. Canal,,04-02-2008
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,93","3,93","0,00",Eur / Kg. Canal,,04-02-2008
Bovino menor 12 meses,Extra macho,"3,56","3,56","0,00",Eur / Kg. Canal,,04-02-2008
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,87","3,87","0,00",Eur / Kg. Canal,,04-02-2008
Bovino menor 12 meses,Primera macho ,"3,32","3,32","0,00",Eur / Kg. Canal,,04-02-2008
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,78","3,78","0,00",Eur / Kg. Canal,,04-02-2008
Bovino menor 12 meses,Segunda macho,"3,09","3,09","0,00",Eur / Kg. Canal,,04-02-2008
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,69","3,69","0,00",Eur / Kg. Canal,,04-02-2008
Ternera mayor 12 meses,Especial menor 270 Kg,"3,82","3,82","0,00",Eur / Kg. Canal,,04-02-2008
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,61","3,61","0,00",Eur / Kg. Canal,,04-02-2008
Ternera mayor 12 meses,Extra menor  270 Kg,"3,79","3,79","0,00",Eur / Kg. Canal,,04-02-2008
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,55","3,55","0,00",Eur / Kg. Canal,,04-02-2008
Ternera mayor 12 meses,Primera menor 270 Kg,"3,70","3,70","0,00",Eur / Kg. Canal,,04-02-2008
Ternera mayor 12 meses,Primera mayor  270 Kg,"3,46","3,46","0,00",Eur / Kg. Canal,,04-02-2008
Ternera mayor 12 meses,Segunda menor 270 Kg,"3,52","3,52","0,00",Eur / Kg. Canal,,04-02-2008
Ternera mayor 12 meses,segunda mayor  270 Kg,"3,28","3,28","0,00",Eur / Kg. Canal,,04-02-2008
Añojo,Especial menor 350 Kg,"3,39","3,39","0,00",Eur / Kg. Canal,,04-02-2008
Añojo,Especial mayor 350 Kg,"3,06","3,12","0,06",Eur / Kg. Canal,,04-02-2008
Añojo,Extra menor 350 Kg,"3,33","3,33","0,00",Eur / Kg. Canal,,04-02-2008
Añojo,Extra mayor 350 Kg,"3,00","3,06","0,06",Eur / Kg. Canal,,04-02-2008
Añojo,Primera menor 350 Kg,"3,12","3,12","0,00",Eur / Kg. Canal,,04-02-2008
Añojo,Primera mayor 350 Kg,"2,78","2,84","0,06",Eur / Kg. Canal,,04-02-2008
Añojo,Segunda menor 350 Kg,"2,99","2,99","0,00",Eur / Kg. Canal,,04-02-2008
Añojo,Segunda mayor 350 Kg,"2,66","2,72","0,06",Eur / Kg. Canal,,04-02-2008
Erales,Extra,"2,58","2,64","0,06",Eur / Kg. Canal,,04-02-2008
Erales,Primera,"2,03","2,09","0,06",Eur / Kg. Canal,,04-02-2008
Erales,Segunda,"1,55","1,61","0,06",Eur / Kg. Canal,,04-02-2008
Novillos,Extra,"2,42","2,48","0,06",Eur / Kg. Canal,,04-02-2008
Novillos,Primera,"1,88","1,94","0,06",Eur / Kg. Canal,,04-02-2008
Novillos,Segunda,"1,40","1,46","0,06",Eur / Kg. Canal,,04-02-2008
Toro,Extra,"2,10","2,10","0,00",Eur / Kg. Canal,,04-02-2008
Toro,Primera,"1,80","1,80","0,00",Eur / Kg. Canal,,04-02-2008
Toro,Segunda,"1,68","1,68","0,00",Eur / Kg. Canal,,04-02-2008
Vaca,Extra,"2,61","2,61","0,00",Eur / Kg. Canal,,04-02-2008
Vaca,Primera,"2,31","2,31","0,00",Eur / Kg. Canal,,04-02-2008
