Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"0,00","129,00","129,00",Eur / Tm.,,17-07-2006
Cereales,Trigo pienso,"120,00","120,00","0,00",Eur / Tm.,,17-07-2006
Cereales,Cebada,"112,00","113,00","1,00",Eur / Tm.,,17-07-2006
Cereales,Avena,"109,00","110,00","1,00",Eur / Tm.,,17-07-2006
Cereales,Centeno,"115,00","115,00","0,00",Eur / Tm.,,17-07-2006
Cereales,Maíz,"144,00","158,00","14,00",Eur / Tm.,,17-07-2006
Leguminosas,Garbanzo pedrosillano,"0,00","0,00","0,00",Eur / Tm.,,17-07-2006
Leguminosas,Lenteja de Salamanca,"700,00","750,00","50,00",Eur / Tm.,,17-07-2006
Leguminosas,Lenteja armuña D.O.,"750,00","800,00","50,00",Eur / Tm.,,17-07-2006
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,17-07-2006
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,17-07-2006
Forrajes,Alfalfa empacada,"113,00","113,00","0,00",Eur / Tm.,,17-07-2006
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,17-07-2006
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,17-07-2006
Forrajes,Paja paquete grande,"43,00","40,00","-3,00",Eur / Tm.,,17-07-2006
Lechazo,Hasta 11 Kg,"5,10","5,10","0,00",Eur / Kg. Vivo,,17-07-2006
Lechazo,"11,01 a 13 KG.","4,40","4,40","0,00",Eur / Kg. Vivo,,17-07-2006
Lechazo,"13,01 a 15 KG.","4,00","4,00","0,00",Eur / Kg. Vivo,,17-07-2006
Cordero,"15,01 a 19 KG.","3,00","3,20","0,20",Eur / Kg. Vivo,,17-07-2006
Cordero,"19,01 a 23 KG.","2,55","2,55","0,00",Eur / Kg. Vivo,,17-07-2006
Cordero,"23,01 a 25,49 KG.","2,50","2,50","0,00",Eur / Kg. Vivo,,17-07-2006
Cordero,"25,5 a 28 KG.","2,15","2,15","0,00",Eur / Kg. Vivo,,17-07-2006
Cordero,"28,01 a 34 KG.","2,00","2,00","0,00",Eur / Kg. Vivo,,17-07-2006
Oveja,Sacrificio,"3,00 / 6,00","3,00 / 6,00","0,00",Eur / Unidad,,17-07-2006
Porcino blanco,Selecto,"1,33 / 1,34","1,33 / 1,34","0,00",Eur / Kg. Vivo,,17-07-2006
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,17-07-2006
Porcino blanco,Normal,"1,32 / 1,33","1,32 / 1,33","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino blanco,Graso,"1,34 / 1,35","1,34 / 1,35","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino blanco,Cerdas,"0,63 / 0,66","0,61 / 0,64","-0,02",Eur / Kg. Vivo,,17-07-2006
Lechón,Selecto,"40,00","40,00","0,00",Eur / Unidad,,17-07-2006
Tostón, 4 A 6 Kg,"25,00","25,00","0,00",Eur / Unidad,,17-07-2006
Tostón,"6,01 A 8 Kg","28,00","28,00","0,00",Eur / Unidad,,17-07-2006
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino Ibérico,Pienso 150 Kg,"1,66 / 1,72","1,66 / 1,72","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino Ibérico,Pienso 150 Kg extensivo,"1,72 / 1,78","1,72 / 1,78","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino Ibérico,Lechones Hasta 23 Kg,"3,17 / 3,29","3,11 / 3,23","-0,06",Eur / Kg. Vivo,,17-07-2006
Porcino Ibérico,Marranos 30 - 60 Kg,"2,35 / 2,47","2,35 / 2,47","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino Ibérico,Primales,"1,82 / 1,94","1,82 / 1,94","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino Ibérico,Tostones 5 - 7 Kg,"28,00 / 38,00","28,00 / 38,00","0,00",Eur / Kg. Vivo,,17-07-2006
Ternero cruzado,Extra macho,"2,80","2,80","0,00",Eur / Kg. Vivo,,17-07-2006
Ternero cruzado,Extra hembra,"2,43","2,43","0,00",Eur / Kg. Vivo,,17-07-2006
Ternero cruzado,Primera macho,"2,67","2,67","0,00",Eur / Kg. Vivo,,17-07-2006
Porcino Ibérico,Reproductoras,"220,00 / 340,00","220,00 / 340,00","0,00",Eur / Kg. Vivo,,17-07-2006
Ternero cruzado,Primera hembra,"2,34","2,34","0,00",Eur / Kg. Vivo,,17-07-2006
Ternero cruzado,Segunda macho,"2,18","2,18","0,00",Eur / Kg. Vivo,,17-07-2006
Ternero cruzado,Segunda hembra,"1,96","1,96","0,00",Eur / Kg. Vivo,,17-07-2006
Ternero del país,Macho,"1,31","1,31","0,00",Eur / Kg. Vivo,,17-07-2006
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,17-07-2006
Bovino menor 12 meses,Especial macho,"3,51","3,51","0,00",Eur / Kg. Canal,,17-07-2006
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,57","3,57","0,00",Eur / Kg. Canal,,17-07-2006
Bovino menor 12 meses,Extra macho,"3,45","3,45","0,00",Eur / Kg. Canal,,17-07-2006
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,51","3,51","0,00",Eur / Kg. Canal,,17-07-2006
Bovino menor 12 meses,Primera macho ,"0,00","0,00","0,00",Eur / Kg. Canal,,17-07-2006
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,42","3,42","0,00",Eur / Kg. Canal,,17-07-2006
Bovino menor 12 meses,Segunda macho,"0,00","0,00","0,00",Eur / Kg. Canal,,17-07-2006
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,33","3,33","0,00",Eur / Kg. Canal,,17-07-2006
Ternera mayor 12 meses,Especial menor 270 Kg,"3,46","3,46","0,00",Eur / Kg. Canal,,17-07-2006
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,43","3,43","0,00",Eur / Kg. Canal,,17-07-2006
Ternera mayor 12 meses,Extra menor  270 Kg,"3,40","3,40","0,00",Eur / Kg. Canal,,17-07-2006
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,34","3,34","0,00",Eur / Kg. Canal,,17-07-2006
Ternera mayor 12 meses,Primera menor 270 Kg,"3,28","3,28","0,00",Eur / Kg. Canal,,17-07-2006
Ternera mayor 12 meses,Primera mayor  270 Kg,"3,22","3,22","0,00",Eur / Kg. Canal,,17-07-2006
Ternera mayor 12 meses,Segunda menor 270 Kg,"3,10","3,10","0,00",Eur / Kg. Canal,,17-07-2006
Ternera mayor 12 meses,segunda mayor  270 Kg,"3,04","3,04","0,00",Eur / Kg. Canal,,17-07-2006
Añojo,Especial menor 350 Kg,"3,43","3,40","-0,03",Eur / Kg. Canal,,17-07-2006
Añojo,Especial mayor 350 Kg,"3,34","3,31","-0,03",Eur / Kg. Canal,,17-07-2006
Añojo,Extra menor 350 Kg,"3,37","3,34","-0,03",Eur / Kg. Canal,,17-07-2006
Añojo,Extra mayor 350 Kg,"3,28","3,25","-0,03",Eur / Kg. Canal,,17-07-2006
Añojo,Primera menor 350 Kg,"3,19","3,16","-0,03",Eur / Kg. Canal,,17-07-2006
Añojo,Primera mayor 350 Kg,"3,09","3,06","-0,03",Eur / Kg. Canal,,17-07-2006
Añojo,Segunda menor 350 Kg,"3,06","3,03","-0,03",Eur / Kg. Canal,,17-07-2006
Añojo,Segunda mayor 350 Kg,"2,97","2,94","-0,03",Eur / Kg. Canal,,17-07-2006
Erales,Extra,"2,74","2,74","0,00",Eur / Kg. Canal,,17-07-2006
Erales,Primera,"2,07","2,07","0,00",Eur / Kg. Canal,,17-07-2006
Erales,Segunda,"1,59","1,59","0,00",Eur / Kg. Canal,,17-07-2006
Novillos,Extra,"2,58","2,58","0,00",Eur / Kg. Canal,,17-07-2006
Novillos,Primera,"1,92","1,92","0,00",Eur / Kg. Canal,,17-07-2006
Novillos,Segunda,"1,44","1,44","0,00",Eur / Kg. Canal,,17-07-2006
Toro,Extra,"2,22","2,22","0,00",Eur / Kg. Canal,,17-07-2006
Toro,Primera,"1,92","1,92","0,00",Eur / Kg. Canal,,17-07-2006
Toro,Segunda,"1,80","1,80","0,00",Eur / Kg. Canal,,17-07-2006
Vaca,Extra,"2,34","2,34","0,00",Eur / Kg. Canal,,17-07-2006
Vaca,Primera,"2,04","2,04","0,00",Eur / Kg. Canal,,17-07-2006
Vaca,Segunda,"1,68","1,68","0,00",Eur / Kg. Canal,,17-07-2006
Vaca,Tercera,"1,44","1,44","0,00",Eur / Kg. Canal,,17-07-2006
Vaca,Fábrica,"1,17","1,17","0,00",Eur / Kg. Canal,,17-07-2006
