Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"197,00","196,00","-1,00",Eur / Tm.,,02-12-2013
Cereales,Trigo pienso,"190,00","189,00","-1,00",Eur / Tm.,,02-12-2013
Cereales,Cebada,"172,00","171,00","-1,00",Eur / Tm.,,02-12-2013
Cereales,Avena,"162,00","162,00","0,00",Eur / Tm.,,02-12-2013
Cereales,Centeno,"162,00","162,00","0,00",Eur / Tm.,,02-12-2013
Cereales,Maíz,"182,00","179,00","-3,00",Eur / Tm.,,02-12-2013
Leguminosas,Garbanzo pedrosillano,"650,00","650,00","0,00",Eur / Tm.,,02-12-2013
Leguminosas,Lenteja de Salamanca,"560,00","560,00","0,00",Eur / Tm.,,02-12-2013
Leguminosas,Lenteja armuña D.O.,"860,00","860,00","0,00",Eur / Tm.,,02-12-2013
Oleaginosas,Girasol,"300,00","0,00","-300,00",Eur / Tm.,,02-12-2013
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,02-12-2013
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,02-12-2013
Oleaginosas,Guisantes,"0,00","0,00","0,00",Eur / Tm.,,02-12-2013
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,02-12-2013
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,02-12-2013
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,02-12-2013
Forrajes,Paja paquete grande,"36,00","36,00","0,00",Eur / Tm.,,02-12-2013
Lechazo,Extra,"5,55","5,55","0,00",Eur / Kg. Vivo,,02-12-2013
Lechazo,Hasta 11 Kg,"4,70","4,70","0,00",Eur / Kg. Vivo,,02-12-2013
Lechazo,"11,01 a 13 KG.","4,34","4,34","0,00",Eur / Kg. Vivo,,02-12-2013
Lechazo,"13,01 a 15 KG.","3,80","3,80","0,00",Eur / Kg. Vivo,,02-12-2013
Cordero,"15,01 a 19 KG.","3,35","3,35","0,00",Eur / Kg. Vivo,,02-12-2013
Cordero,"19,01 a 23 KG.","2,81","2,81","0,00",Eur / Kg. Vivo,,02-12-2013
Cordero,"23,01 a 25,49 KG.","2,50","2,50","0,00",Eur / Kg. Vivo,,02-12-2013
Cordero,"25,5 a 28 KG.","2,40","2,40","0,00",Eur / Kg. Vivo,,02-12-2013
Cordero,"28,01 a 34 KG.","2,20","2,20","0,00",Eur / Kg. Vivo,,02-12-2013
Oveja,Sacrificio,"7,00 / 25,00","7,00 / 25,00","0,00",Eur / Unidad,,02-12-2013
Porcino blanco,Selecto,"1,30 / 1,31","1,30 / 1,31","0,00",Eur / Kg. Vivo,,02-12-2013
Oveja,Vida,"49,00 / 61,00","49,00 / 61,00","0,00",Eur / Unidad,,02-12-2013
Porcino blanco,Normal,"1,29 / 1,30","1,29 / 1,30","0,00",Eur / Kg. Vivo,,02-12-2013
Porcino blanco,Graso,"1,25 / 1,26","1,25 / 1,26","0,00",Eur / Kg. Vivo,,02-12-2013
Porcino blanco,Cerdas,"0,86 / 0,89","0,86 / 0,89","0,00",Eur / Kg. Vivo,,02-12-2013
Lechón,Selecto,"52,00","53,00","1,00",Eur / Unidad,,02-12-2013
Tostón, 4 A 6 Kg,"36,00","38,00","2,00",Eur / Unidad,,02-12-2013
Tostón,"6,01 A 8 Kg","38,00","40,00","2,00",Eur / Unidad,,02-12-2013
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","2,74 / 2,95","2,74",Eur / Kg. Vivo,,02-12-2013
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,02-12-2013
Porcino Ibérico,Pienso 150 Kg,"2,39 / 2,45","2,39 / 2,45","0,00",Eur / Kg. Vivo,,02-12-2013
Porcino Ibérico,Pienso 150 Kg extensivo,"2,45 / 2,51","2,45 / 2,51","0,00",Eur / Kg. Vivo,,02-12-2013
Porcino Ibérico,Lechones Hasta 23 Kg,"4,83 / 4,95","4,86 / 4,98","0,03",Eur / Kg. Vivo,,02-12-2013
Porcino Ibérico,Marranos 30 - 60 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,02-12-2013
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,02-12-2013
Porcino Ibérico,Tostones 5 - 7 Kg,"36,00 / 38,00","38,00 / 40,00","2,00",Eur / Kg. Vivo,,02-12-2013
Ternero cruzado,Extra macho,"0,00","0,00","0,00",Eur / Kg. Vivo,,02-12-2013
Ternero cruzado,Extra hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,02-12-2013
Ternero cruzado,Primera macho,"2,87","2,87","0,00",Eur / Kg. Vivo,,02-12-2013
Porcino Ibérico,Reproductoras,"425,00 / 475,00","425,00 / 475,00","0,00",Eur / Kg. Vivo,,02-12-2013
Ternero cruzado,Primera hembra,"2,44","2,47","0,03",Eur / Kg. Vivo,,02-12-2013
Ternero cruzado,Segunda macho,"2,56","2,62","0,06",Eur / Kg. Vivo,,02-12-2013
Ternero cruzado,Segunda hembra,"2,32","2,35","0,03",Eur / Kg. Vivo,,02-12-2013
Ternero del país,Macho,"1,71","1,71","0,00",Eur / Kg. Vivo,,02-12-2013
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,02-12-2013
Bovino menor 12 meses,Especial macho,"4,16","4,22","0,06",Eur / Kg. Canal,,02-12-2013
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"4,53","4,56","0,03",Eur / Kg. Canal,,02-12-2013
Bovino menor 12 meses,Extra macho,"4,10","4,16","0,06",Eur / Kg. Canal,,02-12-2013
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"4,47","4,50","0,03",Eur / Kg. Canal,,02-12-2013
Bovino menor 12 meses,Primera macho ,"3,92","3,98","0,06",Eur / Kg. Canal,,02-12-2013
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"4,38","4,41","0,03",Eur / Kg. Canal,,02-12-2013
Bovino menor 12 meses,Segunda macho,"3,63","3,69","0,06",Eur / Kg. Canal,,02-12-2013
