Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"155,00","150,00","-5,00",Eur / Tm.,,15-12-2008
Cereales,Trigo pienso,"138,00","138,00","0,00",Eur / Tm.,,15-12-2008
Cereales,Cebada,"134,00","129,00","-5,00",Eur / Tm.,,15-12-2008
Cereales,Avena,"140,00","134,00","-6,00",Eur / Tm.,,15-12-2008
Cereales,Centeno,"140,00","134,00","-6,00",Eur / Tm.,,15-12-2008
Cereales,Maíz,"148,00","148,00","0,00",Eur / Tm.,,15-12-2008
Leguminosas,Garbanzo pedrosillano,"650,00","650,00","0,00",Eur / Tm.,,15-12-2008
Leguminosas,Lenteja de Salamanca,"1020,00","1020,00","0,00",Eur / Tm.,,15-12-2008
Leguminosas,Lenteja armuña D.O.,"1120,00","1120,00","0,00",Eur / Tm.,,15-12-2008
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,15-12-2008
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,15-12-2008
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,15-12-2008
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,15-12-2008
Forrajes,Paja paquete pequeño,"24,00","25,00","1,00",Eur / Tm.,,15-12-2008
Forrajes,Paja paquete grande,"21,00","22,00","1,00",Eur / Tm.,,15-12-2008
Lechazo,Hasta 11 Kg,"4,05","4,45","0,40",Eur / Kg. Vivo,,15-12-2008
Lechazo,"11,01 a 13 KG.","3,70","4,00","0,30",Eur / Kg. Vivo,,15-12-2008
Lechazo,"13,01 a 15 KG.","3,25","3,40","0,15",Eur / Kg. Vivo,,15-12-2008
Cordero,"15,01 a 19 KG.","3,10","3,10","0,00",Eur / Kg. Vivo,,15-12-2008
Cordero,"19,01 a 23 KG.","3,10","3,10","0,00",Eur / Kg. Vivo,,15-12-2008
Cordero,"23,01 a 25,49 KG.","3,05","3,05","0,00",Eur / Kg. Vivo,,15-12-2008
Cordero,"25,5 a 28 KG.","2,55","2,55","0,00",Eur / Kg. Vivo,,15-12-2008
Cordero,"28,01 a 34 KG.","2,30","2,30","0,00",Eur / Kg. Vivo,,15-12-2008
Oveja,Sacrificio,"2,00 / 5,00","2,00 / 5,00","0,00",Eur / Unidad,,15-12-2008
Porcino blanco,Selecto,"1,04 / 1,05","1,04 / 1,05","0,00",Eur / Kg. Vivo,,15-12-2008
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,15-12-2008
Porcino blanco,Normal,"1,03 / 1,04","1,03 / 1,04","0,00",Eur / Kg. Vivo,,15-12-2008
Porcino blanco,Graso,"1,09 / 1,10","1,09 / 1,10","0,00",Eur / Kg. Vivo,,15-12-2008
Porcino blanco,Cerdas,"0,59 / 0,62","0,59 / 0,62","0,00",Eur / Kg. Vivo,,15-12-2008
Lechón,Selecto,"45,00","45,00","0,00",Eur / Unidad,,15-12-2008
Tostón, 4 A 6 Kg,"30,00","36,00","6,00",Eur / Unidad,,15-12-2008
Tostón,"6,01 A 8 Kg","32,00","38,00","6,00",Eur / Unidad,,15-12-2008
Porcino Ibérico,Bellota 160-170 Kg,"1,82 / 2,07","1,72 / 1,97","-0,10",Eur / Kg. Vivo,,15-12-2008
Porcino Ibérico,Recebo 160-170 Kg,"1,37 / 1,62","1,27 / 1,52","-0,10",Eur / Kg. Vivo,,15-12-2008
Porcino Ibérico,Pienso 150 Kg,"1,04 / 1,10","1,02 / 1,08","-0,02",Eur / Kg. Vivo,,15-12-2008
Porcino Ibérico,Pienso 150 Kg extensivo,"1,10 / 1,16","1,08 / 1,14","-0,02",Eur / Kg. Vivo,,15-12-2008
Porcino Ibérico,Lechones Hasta 23 Kg,"1,13 / 1,25","1,11 / 1,23","-0,02",Eur / Kg. Vivo,,15-12-2008
Porcino Ibérico,Marranos 30 - 60 Kg,"0,82 / 0,94","0,80 / 0,92","-0,02",Eur / Kg. Vivo,,15-12-2008
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,15-12-2008
Porcino Ibérico,Tostones 5 - 7 Kg,"17,00 / 19,00","20,00 / 22,00","3,00",Eur / Kg. Vivo,,15-12-2008
Ternero cruzado,Extra macho,"2,02","2,05","0,03",Eur / Kg. Vivo,,15-12-2008
