Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"196,00","196,00","0,00",Eur / Tm.,,12-01-2015
Cereales,Trigo pienso,"187,00","189,00","2,00",Eur / Tm.,,12-01-2015
Cereales,Cebada,"179,00","180,00","1,00",Eur / Tm.,,12-01-2015
Cereales,Avena,"174,00","175,00","1,00",Eur / Tm.,,12-01-2015
Cereales,Centeno,"165,00","165,00","0,00",Eur / Tm.,,12-01-2015
Cereales,Maíz,"169,00","170,00","1,00",Eur / Tm.,,12-01-2015
Leguminosas,Garbanzo pedrosillano,"510,00","510,00","0,00",Eur / Tm.,,12-01-2015
Leguminosas,Lenteja de Salamanca,"780,00","780,00","0,00",Eur / Tm.,,12-01-2015
Leguminosas,Lenteja armuña D.O.,"1080,00","1080,00","0,00",Eur / Tm.,,12-01-2015
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,12-01-2015
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,12-01-2015
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,12-01-2015
Oleaginosas,Guisantes,"0,00","0,00","0,00",Eur / Tm.,,12-01-2015
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,12-01-2015
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,12-01-2015
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,12-01-2015
Forrajes,Paja paquete grande,"36,00","36,00","0,00",Eur / Tm.,,12-01-2015
Lechazo,Extra,"5,45","4,60","-0,85",Eur / Kg. Vivo,,12-01-2015
Lechazo,Hasta 11 Kg,"4,85","4,00","-0,85",Eur / Kg. Vivo,,12-01-2015
Lechazo,"11,01 a 13 KG.","4,60","3,75","-0,85",Eur / Kg. Vivo,,12-01-2015
Lechazo,"13,01 a 15 KG.","3,95","3,10","-0,85",Eur / Kg. Vivo,,12-01-2015
Cordero,"15,01 a 19 KG.","3,40","3,00","-0,40",Eur / Kg. Vivo,,12-01-2015
Cordero,"19,01 a 23 KG.","2,96","2,66","-0,30",Eur / Kg. Vivo,,12-01-2015
Cordero,"23,01 a 25,49 KG.","2,85","2,85","0,00",Eur / Kg. Vivo,,12-01-2015
Cordero,"25,5 a 28 KG.","2,60","2,60","0,00",Eur / Kg. Vivo,,12-01-2015
Cordero,"28,01 a 34 KG.","2,50","2,50","0,00",Eur / Kg. Vivo,,12-01-2015
Oveja,Sacrificio,"7,00 / 25,00","7,00 / 25,00","0,00",Eur / Unidad,,12-01-2015
Porcino blanco,Selecto,"1,04 / 1,05","1,03 / 1,04","-0,01",Eur / Kg. Vivo,,12-01-2015
Oveja,Vida,"55,00 / 75,00","55,00 / 75,00","0,00",Eur / Unidad,,12-01-2015
Porcino blanco,Normal,"1,03 / 1,04","1,02 / 1,03","-0,01",Eur / Kg. Vivo,,12-01-2015
Porcino blanco,Graso,"0,99 / 1,00","0,98 / 0,99","-0,01",Eur / Kg. Vivo,,12-01-2015
Porcino blanco,Cerdas,"0,55 / 0,58","0,53 / 0,56","-0,02",Eur / Kg. Vivo,,12-01-2015
Lechón,Selecto,"45,00","45,00","0,00",Eur / Unidad,,12-01-2015
Tostón, 4 A 6 Kg,"28,00","26,00","-2,00",Eur / Unidad,,12-01-2015
Tostón,"6,01 A 8 Kg","30,00","28,00","-2,00",Eur / Unidad,,12-01-2015
Porcino Ibérico,Bellota 50% IB,"2,60 / 2,78","2,60 / 2,78","0,00",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Recebo,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Cebo de campo,"2,12 / 2,18","2,10 / 2,16","-0,02",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Cebo,"2,03 / 2,09","2,02 / 2,08","-0,01",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Lechones hasta 23 Kg (Gran partida),"2,93 / 3,05","2,98 / 3,10","0,05",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Lechones hasta 23 kg (Recogida),"2,60 / 2,72","2,65 / 2,77","0,05",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Marranos 30 - 60 Kg,"2,15 / 2,50","2,20 / 2,55","0,05",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,12-01-2015
Ternero cruzado,Extra macho,"0,00","0,00","0,00",Eur / Kg. Vivo,,12-01-2015
Ternero cruzado,Extra hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,12-01-2015
Ternero cruzado,Primera macho,"2,78","2,78","0,00",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Tostones (5 - 8 Kg),"25,00 / 27,00","23,00 / 25,00","-2,00",Eur / Unidad,,12-01-2015
Ternero cruzado,Primera hembra,"2,35","2,35","0,00",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Tostones (9 - 12 Kg),"28,00 / 33,00","26,00 / 31,00","-2,00",Eur / Unidad,,12-01-2015
Ternero cruzado,Segunda macho,"2,50","2,50","0,00",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Reproductoras < de 6 meses,"250,00 / 300,00","250,00 / 300,00","0,00",Eur / Unidad,,12-01-2015
Ternero cruzado,Segunda hembra,"2,23","2,23","0,00",Eur / Kg. Vivo,,12-01-2015
Porcino Ibérico,Reproductoras > de 6 meses,"405,00 / 455,00","405,00 / 455,00","0,00",Eur / Unidad,,12-01-2015
Ternero del país,Macho,"1,59","1,59","0,00",Eur / Kg. Vivo,,12-01-2015
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,12-01-2015
Bovino menor 12 meses,Especial macho,"3,98","4,01","0,03",Eur / Kg. Canal,,12-01-2015
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"4,32","4,32","0,00",Eur / Kg. Canal,,12-01-2015
Bovino menor 12 meses,Extra macho,"3,92","3,95","0,03",Eur / Kg. Canal,,12-01-2015
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"4,26","4,26","0,00",Eur / Kg. Canal,,12-01-2015
Bovino menor 12 meses,Primera macho ,"3,74","3,77","0,03",Eur / Kg. Canal,,12-01-2015
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"4,17","4,17","0,00",Eur / Kg. Canal,,12-01-2015
Bovino menor 12 meses,Segunda macho,"3,45","3,48","0,03",Eur / Kg. Canal,,12-01-2015
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"4,08","4,08","0,00",Eur / Kg. Canal,,12-01-2015
Ternera mayor 12 meses,Especial menor 270 Kg,"4,18","4,18","0,00",Eur / Kg. Canal,,12-01-2015
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,97","3,97","0,00",Eur / Kg. Canal,,12-01-2015
Ternera mayor 12 meses,Extra menor  270 Kg,"4,15","4,15","0,00",Eur / Kg. Canal,,12-01-2015
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,91","3,91","0,00",Eur / Kg. Canal,,12-01-2015
Ternera mayor 12 meses,Primera menor 270 Kg,"4,06","4,06","0,00",Eur / Kg. Canal,,12-01-2015
Ternera mayor 12 meses,Primera mayor  270 Kg,"3,82","3,82","0,00",Eur / Kg. Canal,,12-01-2015
Ternera mayor 12 meses,Segunda menor 270 Kg,"3,88","3,88","0,00",Eur / Kg. Canal,,12-01-2015
Ternera mayor 12 meses,segunda mayor  270 Kg,"3,64","3,64","0,00",Eur / Kg. Canal,,12-01-2015
Añojo,Especial menor 350 Kg,"3,81","3,84","0,03",Eur / Kg. Canal,,12-01-2015
Añojo,Especial mayor 350 Kg,"3,66","3,72","0,06",Eur / Kg. Canal,,12-01-2015
Añojo,Extra menor 350 Kg,"3,75","3,78","0,03",Eur / Kg. Canal,,12-01-2015
Añojo,Extra mayor 350 Kg,"3,60","3,66","0,06",Eur / Kg. Canal,,12-01-2015
Añojo,Primera menor 350 Kg,"3,63","3,66","0,03",Eur / Kg. Canal,,12-01-2015
Añojo,Primera mayor 350 Kg,"3,44","3,50","0,06",Eur / Kg. Canal,,12-01-2015
Añojo,Segunda menor 350 Kg,"3,38","3,41","0,03",Eur / Kg. Canal,,12-01-2015
Añojo,Segunda mayor 350 Kg,"3,26","3,32","0,06",Eur / Kg. Canal,,12-01-2015
Erales,Extra,"2,58","2,61","0,03",Eur / Kg. Canal,,12-01-2015
Erales,Primera,"2,03","2,06","0,03",Eur / Kg. Canal,,12-01-2015
Erales,Segunda,"1,55","1,58","0,03",Eur / Kg. Canal,,12-01-2015
Novillos,Extra,"2,22","2,25","0,03",Eur / Kg. Canal,,12-01-2015
Novillos,Primera,"1,92","1,95","0,03",Eur / Kg. Canal,,12-01-2015
Novillos,Segunda,"1,43","1,46","0,03",Eur / Kg. Canal,,12-01-2015
Toro,Extra,"2,22","2,22","0,00",Eur / Kg. Canal,,12-01-2015
Toro,Primera,"1,83","1,83","0,00",Eur / Kg. Canal,,12-01-2015
Toro,Segunda,"1,55","1,55","0,00",Eur / Kg. Canal,,12-01-2015
Vaca,Extra,"2,92","2,92","0,00",Eur / Kg. Canal,,12-01-2015
Vaca,Primera,"2,31","2,31","0,00",Eur / Kg. Canal,,12-01-2015
Vaca,Segunda,"1,86","1,86","0,00",Eur / Kg. Canal,,12-01-2015
Vaca,Tercera,"1,59","1,59","0,00",Eur / Kg. Canal,,12-01-2015
Vaca,Fábrica,"1,29","1,29","0,00",Eur / Kg. Canal,,12-01-2015
Jamón Ibérico en Sangre,Bellota 100% IB,"11,50 / 12,75","11,50 / 12,75","0,00",Eur / Kg.,,12-01-2015
Jamón Ibérico en Sangre,Cebo de campo,"6,85 / 7,35","6,80 / 7,30","-0,05",Eur / Kg.,,12-01-2015
Jamón Ibérico en Sangre,Cebo,"6,10 / 6,28","6,10 / 6,28","0,00",Eur / Kg.,,12-01-2015
Paleta Ibérica en Sangre,Bellota 100 % IB,"5,75 / 6,25","5,75 / 6,25","0,00",Eur / Kg.,,12-01-2015
Paleta Ibérica en Sangre,Cebo de campo,"4,26 / 4,61","4,26 / 4,61","0,00",Eur / Kg.,,12-01-2015
Paleta Ibérica en Sangre,Cebo,"4,11 / 4,26","4,11 / 4,26","0,00",Eur / Kg.,,12-01-2015
Magros,Magro de Bellota,"2,55 / 2,65","2,55 / 2,65","0,00",Eur / Kg.,,12-01-2015
Magros,Extra,"2,06 / 2,16","2,06 / 2,16","0,00",Eur / Kg.,,12-01-2015
Magros,Presa,"11,50 / 12,00","11,50 / 12,00","0,00",Eur / Kg.,,12-01-2015
Magros,Secreto,"10,47 / 10,92","10,40 / 10,85","-0,07",Eur / Kg.,,12-01-2015
Magros,Barriguera,"2,97 / 3,17","2,90 / 3,10","-0,07",Eur / Kg.,,12-01-2015
Magros,Solomillo,"8,50 / 9,00","8,50 / 9,00","0,00",Eur / Kg.,,12-01-2015
Magros,Pluma de lomo,"12,35 / 12,65","12,30 / 12,60","-0,05",Eur / Kg.,,12-01-2015
Magros,Carrillera,"4,90 / 5,10","4,90 / 5,10","0,00",Eur / Kg.,,12-01-2015
Despiece,Lomo Bellota,"11,50 / 12,50","11,60 / 12,60","0,10",Eur / Kg.,,12-01-2015
Despiece,Lomo Cebo,"9,50 / 9,70","9,40 / 9,60","-0,10",Eur / Kg.,,12-01-2015
Despiece,Panceta a cuadro,"1,20 / 1,30","1,20 / 1,30","0,00",Eur / Kg.,,12-01-2015
Despiece,Tocino de Lomo,"0,70 / 0,80","0,70 / 0,80","0,00",Eur / Kg.,,12-01-2015
Despiece,Costillas (Peladas),"0,45 / 0,55","0,45 / 0,55","0,00",Eur / Kg.,,12-01-2015
Despiece,Grasas Industriales,"0,26 / 0,31","0,25 / 0,30","-0,01",Eur / Kg.,,12-01-2015
Despiece,Cabeza,"0,23 / 0,25","0,23 / 0,25","0,00",Eur / Kg.,,12-01-2015
