Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"192,00","190,00","-2,00",Eur / Tm.,,27-04-2015
Cereales,Trigo pienso,"185,00","183,00","-2,00",Eur / Tm.,,27-04-2015
Cereales,Cebada,"177,00","177,00","0,00",Eur / Tm.,,27-04-2015
Cereales,Avena,"188,00","189,00","1,00",Eur / Tm.,,27-04-2015
Cereales,Centeno,"167,00","167,00","0,00",Eur / Tm.,,27-04-2015
Cereales,Maíz,"171,00","171,00","0,00",Eur / Tm.,,27-04-2015
Leguminosas,Garbanzo pedrosillano,"510,00","510,00","0,00",Eur / Tm.,,27-04-2015
Leguminosas,Lenteja de Salamanca,"780,00","780,00","0,00",Eur / Tm.,,27-04-2015
Leguminosas,Lenteja armuña D.O.,"1080,00","1080,00","0,00",Eur / Tm.,,27-04-2015
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,27-04-2015
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,27-04-2015
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,27-04-2015
Oleaginosas,Guisantes,"0,00","0,00","0,00",Eur / Tm.,,27-04-2015
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,27-04-2015
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,27-04-2015
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,27-04-2015
Forrajes,Paja paquete grande,"42,00","42,00","0,00",Eur / Tm.,,27-04-2015
Lechazo,Extra,"4,35","4,35","0,00",Eur / Kg. Vivo,,27-04-2015
Lechazo,Hasta 11 Kg,"3,80","3,80","0,00",Eur / Kg. Vivo,,27-04-2015
Lechazo,"11,01 a 13 KG.","3,60","3,60","0,00",Eur / Kg. Vivo,,27-04-2015
Lechazo,"13,01 a 15 KG.","3,25","3,25","0,00",Eur / Kg. Vivo,,27-04-2015
Cordero,"15,01 a 19 KG.","2,85","2,85","0,00",Eur / Kg. Vivo,,27-04-2015
Cordero,"19,01 a 23 KG.","2,41","2,41","0,00",Eur / Kg. Vivo,,27-04-2015
Cordero,"23,01 a 25,49 KG.","2,60","2,60","0,00",Eur / Kg. Vivo,,27-04-2015
Cordero,"25,5 a 28 KG.","2,45","2,45","0,00",Eur / Kg. Vivo,,27-04-2015
Cordero,"28,01 a 34 KG.","2,35","2,35","0,00",Eur / Kg. Vivo,,27-04-2015
Oveja,Sacrificio,"10,00 / 35,00","10,00 / 35,00","0,00",Eur / Unidad,,27-04-2015
Porcino blanco,Selecto,"1,19 / 1,20","1,19 / 1,20","0,00",Eur / Kg. Vivo,,27-04-2015
Oveja,Vida,"55,00 / 75,00","55,00 / 75,00","0,00",Eur / Unidad,,27-04-2015
Porcino blanco,Normal,"1,18 / 1,19","1,18 / 1,19","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino blanco,Graso,"1,14 / 1,15","1,14 / 1,15","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino blanco,Cerdas,"0,54 / 0,57","0,54 / 0,57","0,00",Eur / Kg. Vivo,,27-04-2015
Lechón,Selecto,"53,00","53,00","0,00",Eur / Unidad,,27-04-2015
Tostón, 4 A 6 Kg,"28,00","28,00","0,00",Eur / Unidad,,27-04-2015
Tostón,"6,01 A 8 Kg","30,00","30,00","0,00",Eur / Unidad,,27-04-2015
Porcino Ibérico,Bellota 50% IB,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Recebo,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Cebo de campo,"2,09 / 2,15","2,09 / 2,15","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Cebo,"2,01 / 2,07","2,01 / 2,07","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Lechones hasta 23 Kg (Gran partida),"3,23 / 3,35","3,23 / 3,35","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Lechones hasta 23 kg (Recogida),"2,90 / 3,02","2,90 / 3,02","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Marranos 30 - 60 Kg,"2,34 / 2,69","2,34 / 2,69","0,00",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,27-04-2015
Ternero cruzado,Extra macho,"0,00","0,00","0,00",Eur / Kg. Vivo,,27-04-2015
Ternero cruzado,Extra hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,27-04-2015
Ternero cruzado,Primera macho,"3,08","3,05","-0,03",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Tostones (5 - 8 Kg),"22,00 / 24,00","22,00 / 24,00","0,00",Eur / Unidad,,27-04-2015
Ternero cruzado,Primera hembra,"2,50","2,44","-0,06",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Tostones (9 - 12 Kg),"25,00 / 30,00","25,00 / 30,00","0,00",Eur / Unidad,,27-04-2015
Ternero cruzado,Segunda macho,"2,65","2,62","-0,03",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Reproductoras < de 6 meses,"240,00 / 290,00","240,00 / 290,00","0,00",Eur / Unidad,,27-04-2015
Ternero cruzado,Segunda hembra,"2,35","2,29","-0,06",Eur / Kg. Vivo,,27-04-2015
Porcino Ibérico,Reproductoras > de 6 meses,"395,00 / 445,00","395,00 / 445,00","0,00",Eur / Unidad,,27-04-2015
Ternero del país,Macho,"1,74","1,71","-0,03",Eur / Kg. Vivo,,27-04-2015
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,27-04-2015
Bovino menor 12 meses,Especial macho,"4,04","3,98","-0,06",Eur / Kg. Canal,,27-04-2015
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"4,14","4,11","-0,03",Eur / Kg. Canal,,27-04-2015
Bovino menor 12 meses,Extra macho,"3,98","3,92","-0,06",Eur / Kg. Canal,,27-04-2015
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"4,08","4,05","-0,03",Eur / Kg. Canal,,27-04-2015
Bovino menor 12 meses,Primera macho ,"3,80","3,74","-0,06",Eur / Kg. Canal,,27-04-2015
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,99","3,96","-0,03",Eur / Kg. Canal,,27-04-2015
Bovino menor 12 meses,Segunda macho,"3,51","3,45","-0,06",Eur / Kg. Canal,,27-04-2015
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,90","3,87","-0,03",Eur / Kg. Canal,,27-04-2015
Ternera mayor 12 meses,Especial menor 270 Kg,"4,00","3,97","-0,03",Eur / Kg. Canal,,27-04-2015
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,91","3,88","-0,03",Eur / Kg. Canal,,27-04-2015
Ternera mayor 12 meses,Extra menor  270 Kg,"3,97","3,94","-0,03",Eur / Kg. Canal,,27-04-2015
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,85","3,82","-0,03",Eur / Kg. Canal,,27-04-2015
Ternera mayor 12 meses,Primera menor 270 Kg,"3,88","3,85","-0,03",Eur / Kg. Canal,,27-04-2015
Ternera mayor 12 meses,Primera mayor  270 Kg,"3,76","3,73","-0,03",Eur / Kg. Canal,,27-04-2015
Ternera mayor 12 meses,Segunda menor 270 Kg,"3,70","3,67","-0,03",Eur / Kg. Canal,,27-04-2015
Ternera mayor 12 meses,segunda mayor  270 Kg,"3,58","3,55","-0,03",Eur / Kg. Canal,,27-04-2015
Añojo,Especial menor 350 Kg,"3,90","3,84","-0,06",Eur / Kg. Canal,,27-04-2015
Añojo,Especial mayor 350 Kg,"3,78","3,72","-0,06",Eur / Kg. Canal,,27-04-2015
Añojo,Extra menor 350 Kg,"3,84","3,78","-0,06",Eur / Kg. Canal,,27-04-2015
Añojo,Extra mayor 350 Kg,"3,72","3,66","-0,06",Eur / Kg. Canal,,27-04-2015
Añojo,Primera menor 350 Kg,"3,72","3,66","-0,06",Eur / Kg. Canal,,27-04-2015
Añojo,Primera mayor 350 Kg,"3,56","3,50","-0,06",Eur / Kg. Canal,,27-04-2015
Añojo,Segunda menor 350 Kg,"3,47","3,41","-0,06",Eur / Kg. Canal,,27-04-2015
Añojo,Segunda mayor 350 Kg,"3,38","3,32","-0,06",Eur / Kg. Canal,,27-04-2015
Erales,Extra,"2,67","2,61","-0,06",Eur / Kg. Canal,,27-04-2015
Erales,Primera,"2,12","2,06","-0,06",Eur / Kg. Canal,,27-04-2015
Erales,Segunda,"1,64","1,58","-0,06",Eur / Kg. Canal,,27-04-2015
Novillos,Extra,"2,31","2,25","-0,06",Eur / Kg. Canal,,27-04-2015
Novillos,Primera,"2,01","1,95","-0,06",Eur / Kg. Canal,,27-04-2015
Novillos,Segunda,"1,52","1,46","-0,06",Eur / Kg. Canal,,27-04-2015
Toro,Extra,"2,25","2,25","0,00",Eur / Kg. Canal,,27-04-2015
Toro,Primera,"1,86","1,86","0,00",Eur / Kg. Canal,,27-04-2015
Toro,Segunda,"1,58","1,58","0,00",Eur / Kg. Canal,,27-04-2015
Vaca,Extra,"3,19","3,19","0,00",Eur / Kg. Canal,,27-04-2015
Vaca,Primera,"2,64","2,64","0,00",Eur / Kg. Canal,,27-04-2015
Vaca,Segunda,"2,16","2,16","0,00",Eur / Kg. Canal,,27-04-2015
Vaca,Tercera,"1,89","1,89","0,00",Eur / Kg. Canal,,27-04-2015
Vaca,Fábrica,"1,59","1,59","0,00",Eur / Kg. Canal,,27-04-2015
Jamón Ibérico en Sangre,Bellota 100% IB,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg.,,27-04-2015
Jamón Ibérico en Sangre,Cebo de campo,"6,65 / 7,15","6,65 / 7,15","0,00",Eur / Kg.,,27-04-2015
Jamón Ibérico en Sangre,Cebo,"6,03 / 6,21","6,03 / 6,21","0,00",Eur / Kg.,,27-04-2015
Paleta Ibérica en Sangre,Bellota 100 % IB,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg.,,27-04-2015
Paleta Ibérica en Sangre,Cebo de campo,"4,24 / 4,59","4,26 / 4,61","0,02",Eur / Kg.,,27-04-2015
Paleta Ibérica en Sangre,Cebo,"4,19 / 4,34","4,21 / 4,36","0,02",Eur / Kg.,,27-04-2015
Magros,Magro de Bellota,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg.,,27-04-2015
Magros,Extra,"2,02 / 2,12","2,02 / 2,12","0,00",Eur / Kg.,,27-04-2015
Magros,Presa,"11,40 / 11,90","11,40 / 11,90","0,00",Eur / Kg.,,27-04-2015
Magros,Secreto,"9,40 / 9,85","9,35 / 9,80","-0,05",Eur / Kg.,,27-04-2015
Magros,Barriguera,"2,65 / 2,85","2,60 / 2,80","-0,05",Eur / Kg.,,27-04-2015
Magros,Solomillo,"8,30 / 8,80","8,30 / 8,80","0,00",Eur / Kg.,,27-04-2015
Magros,Pluma de lomo,"11,50 / 11,80","11,40 / 11,70","-0,10",Eur / Kg.,,27-04-2015
Magros,Carrillera,"4,80 / 5,00","4,80 / 5,00","0,00",Eur / Kg.,,27-04-2015
Despiece,Lomo Bellota,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg.,,27-04-2015
Despiece,Lomo Cebo,"8,86 / 9,06","8,86 / 9,06","0,00",Eur / Kg.,,27-04-2015
Despiece,Panceta a cuadro,"1,00 / 1,10","1,00 / 1,10","0,00",Eur / Kg.,,27-04-2015
Despiece,Tocino de Lomo,"0,70 / 0,80","0,70 / 0,80","0,00",Eur / Kg.,,27-04-2015
Despiece,Costillas (Peladas),"0,35 / 0,45","0,35 / 0,45","0,00",Eur / Kg.,,27-04-2015
Despiece,Grasas Industriales,"0,30 / 0,35","0,30 / 0,35","0,00",Eur / Kg.,,27-04-2015
Despiece,Cabeza,"0,23 / 0,25","0,23 / 0,25","0,00",Eur / Kg.,,27-04-2015
