Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"151,00","150,00","-1,00",Eur / Tm.,,10-05-2010
Cereales,Trigo pienso,"144,00","144,00","0,00",Eur / Tm.,,10-05-2010
Cereales,Cebada,"129,00","128,00","-1,00",Eur / Tm.,,10-05-2010
Cereales,Avena,"128,00","128,00","0,00",Eur / Tm.,,10-05-2010
Cereales,Centeno,"125,00","125,00","0,00",Eur / Tm.,,10-05-2010
Cereales,Maíz,"161,00","161,00","0,00",Eur / Tm.,,10-05-2010
Leguminosas,Garbanzo pedrosillano,"550,00","550,00","0,00",Eur / Tm.,,10-05-2010
Leguminosas,Lenteja de Salamanca,"1030,00","1030,00","0,00",Eur / Tm.,,10-05-2010
Leguminosas,Lenteja armuña D.O.,"1130,00","1130,00","0,00",Eur / Tm.,,10-05-2010
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,10-05-2010
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,10-05-2010
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,10-05-2010
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,10-05-2010
Forrajes,Paja paquete pequeño,"66,00","66,00","0,00",Eur / Tm.,,10-05-2010
Forrajes,Paja paquete grande,"64,00","64,00","0,00",Eur / Tm.,,10-05-2010
Lechazo,Hasta 11 Kg,"3,20","3,50","0,30",Eur / Kg. Vivo,,10-05-2010
Lechazo,"11,01 a 13 KG.","3,05","3,35","0,30",Eur / Kg. Vivo,,10-05-2010
Lechazo,"13,01 a 15 KG.","2,65","2,80","0,15",Eur / Kg. Vivo,,10-05-2010
Cordero,"15,01 a 19 KG.","2,35","2,35","0,00",Eur / Kg. Vivo,,10-05-2010
Cordero,"19,01 a 23 KG.","2,25","2,25","0,00",Eur / Kg. Vivo,,10-05-2010
Cordero,"23,01 a 25,49 KG.","2,15","2,05","-0,10",Eur / Kg. Vivo,,10-05-2010
Cordero,"25,5 a 28 KG.","2,10","2,00","-0,10",Eur / Kg. Vivo,,10-05-2010
Cordero,"28,01 a 34 KG.","1,95","1,85","-0,10",Eur / Kg. Vivo,,10-05-2010
Oveja,Sacrificio,"2,00 / 15,00","2,00 / 15,00","0,00",Eur / Unidad,,10-05-2010
Porcino blanco,Selecto,"1,09 / 1,10","1,13 / 1,14","0,04",Eur / Kg. Vivo,,10-05-2010
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,10-05-2010
Porcino blanco,Normal,"1,08 / 1,09","1,12 / 1,13","0,04",Eur / Kg. Vivo,,10-05-2010
Porcino blanco,Graso,"1,12 / 1,13","1,16 / 1,17","0,04",Eur / Kg. Vivo,,10-05-2010
Porcino blanco,Cerdas,"0,60 / 0,63","0,61 / 0,64","0,01",Eur / Kg. Vivo,,10-05-2010
Lechón,Selecto,"45,00","45,00","0,00",Eur / Unidad,,10-05-2010
Tostón, 4 A 6 Kg,"26,00","26,00","0,00",Eur / Unidad,,10-05-2010
Tostón,"6,01 A 8 Kg","28,00","28,00","0,00",Eur / Unidad,,10-05-2010
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,10-05-2010
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,10-05-2010
Porcino Ibérico,Pienso 150 Kg,"1,53 / 1,59","1,53 / 1,59","0,00",Eur / Kg. Vivo,,10-05-2010
Porcino Ibérico,Pienso 150 Kg extensivo,"1,59 / 1,65","1,59 / 1,65","0,00",Eur / Kg. Vivo,,10-05-2010
Porcino Ibérico,Lechones Hasta 23 Kg,"3,13 / 3,25","3,13 / 3,25","0,00",Eur / Kg. Vivo,,10-05-2010
Porcino Ibérico,Marranos 30 - 60 Kg,"2,29 / 2,39","2,29 / 2,39","0,00",Eur / Kg. Vivo,,10-05-2010
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,10-05-2010
Porcino Ibérico,Tostones 5 - 7 Kg,"25,00 / 27,00","25,00 / 27,00","0,00",Eur / Kg. Vivo,,10-05-2010
Ternero cruzado,Extra macho,"2,81","2,75","-0,06",Eur / Kg. Vivo,,10-05-2010
Ternero cruzado,Extra hembra,"2,17","2,11","-0,06",Eur / Kg. Vivo,,10-05-2010
Ternero cruzado,Primera macho,"2,65","2,59","-0,06",Eur / Kg. Vivo,,10-05-2010
Porcino Ibérico,Reproductoras,"280,00 / 320,00","280,00 / 320,00","0,00",Eur / Kg. Vivo,,10-05-2010
Ternero cruzado,Primera hembra,"2,08","2,02","-0,06",Eur / Kg. Vivo,,10-05-2010
Ternero cruzado,Segunda macho,"2,23","2,17","-0,06",Eur / Kg. Vivo,,10-05-2010
Ternero cruzado,Segunda hembra,"1,70","1,64","-0,06",Eur / Kg. Vivo,,10-05-2010
Ternero del país,Macho,"1,71","1,65","-0,06",Eur / Kg. Vivo,,10-05-2010
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,10-05-2010
Bovino menor 12 meses,Especial macho,"3,38","3,32","-0,06",Eur / Kg. Canal,,10-05-2010
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,42","3,39","-0,03",Eur / Kg. Canal,,10-05-2010
Bovino menor 12 meses,Extra macho,"3,32","3,26","-0,06",Eur / Kg. Canal,,10-05-2010
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,36","3,33","-0,03",Eur / Kg. Canal,,10-05-2010
Bovino menor 12 meses,Primera macho ,"3,14","3,08","-0,06",Eur / Kg. Canal,,10-05-2010
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,27","3,24","-0,03",Eur / Kg. Canal,,10-05-2010
Bovino menor 12 meses,Segunda macho,"2,85","2,79","-0,06",Eur / Kg. Canal,,10-05-2010
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,18","3,15","-0,03",Eur / Kg. Canal,,10-05-2010
Ternera mayor 12 meses,Especial menor 270 Kg,"3,31","3,28","-0,03",Eur / Kg. Canal,,10-05-2010
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,22","3,19","-0,03",Eur / Kg. Canal,,10-05-2010
Ternera mayor 12 meses,Extra menor  270 Kg,"3,28","3,25","-0,03",Eur / Kg. Canal,,10-05-2010
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,16","3,13","-0,03",Eur / Kg. Canal,,10-05-2010
Ternera mayor 12 meses,Primera menor 270 Kg,"3,19","3,16","-0,03",Eur / Kg. Canal,,10-05-2010
Ternera mayor 12 meses,Primera mayor  270 Kg,"3,07","3,04","-0,03",Eur / Kg. Canal,,10-05-2010
Ternera mayor 12 meses,Segunda menor 270 Kg,"3,01","2,98","-0,03",Eur / Kg. Canal,,10-05-2010
Ternera mayor 12 meses,segunda mayor  270 Kg,"2,89","2,86","-0,03",Eur / Kg. Canal,,10-05-2010
Añojo,Especial menor 350 Kg,"3,33","3,27","-0,06",Eur / Kg. Canal,,10-05-2010
Añojo,Especial mayor 350 Kg,"3,24","3,18","-0,06",Eur / Kg. Canal,,10-05-2010
Añojo,Extra menor 350 Kg,"3,27","3,21","-0,06",Eur / Kg. Canal,,10-05-2010
Añojo,Extra mayor 350 Kg,"3,18","3,12","-0,06",Eur / Kg. Canal,,10-05-2010
Añojo,Primera menor 350 Kg,"3,15","3,09","-0,06",Eur / Kg. Canal,,10-05-2010
