Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"134,00","134,00","0,00",Eur / Tm.,,05-06-2006
Cereales,Trigo pienso,"125,00","125,00","0,00",Eur / Tm.,,05-06-2006
Cereales,Cebada,"119,00","119,00","0,00",Eur / Tm.,,05-06-2006
Cereales,Avena,"0,00","0,00","0,00",Eur / Tm.,,05-06-2006
Cereales,Centeno,"0,00","0,00","0,00",Eur / Tm.,,05-06-2006
Cereales,Maíz,"135,00","139,00","4,00",Eur / Tm.,,05-06-2006
Leguminosas,Garbanzo pedrosillano,"0,00","0,00","0,00",Eur / Tm.,,05-06-2006
Leguminosas,Lenteja de Salamanca,"0,00","0,00","0,00",Eur / Tm.,,05-06-2006
Leguminosas,Lenteja armuña D.O.,"0,00","0,00","0,00",Eur / Tm.,,05-06-2006
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,05-06-2006
Forrajes,Forrajes (Avena),"66,00","66,00","0,00",Eur / Tm.,,05-06-2006
Forrajes,Alfalfa empacada,"111,00","111,00","0,00",Eur / Tm.,,05-06-2006
Forrajes,Veza henificada,"112,00","112,00","0,00",Eur / Tm.,,05-06-2006
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,05-06-2006
Forrajes,Paja paquete grande,"0,00","0,00","0,00",Eur / Tm.,,05-06-2006
Lechazo,Hasta 11 Kg,"3,80","3,90","0,10",Eur / Kg. Vivo,,05-06-2006
Lechazo,"11,01 a 13 KG.","3,15","3,25","0,10",Eur / Kg. Vivo,,05-06-2006
Lechazo,"13,01 a 15 KG.","2,90","3,00","0,10",Eur / Kg. Vivo,,05-06-2006
Cordero,"15,01 a 19 KG.","2,20","2,30","0,10",Eur / Kg. Vivo,,05-06-2006
Cordero,"19,01 a 23 KG.","1,95","2,05","0,10",Eur / Kg. Vivo,,05-06-2006
Cordero,"23,01 a 25,49 KG.","1,90","2,00","0,10",Eur / Kg. Vivo,,05-06-2006
Cordero,"25,5 a 28 KG.","1,70","1,70","0,00",Eur / Kg. Vivo,,05-06-2006
Cordero,"28,01 a 34 KG.","1,60","1,60","0,00",Eur / Kg. Vivo,,05-06-2006
Oveja,Sacrificio,"3,00 / 6,00","3,00 / 6,00","0,00",Eur / Unidad,,05-06-2006
Porcino blanco,Selecto,"1,24 / 1,25","1,27 / 1,28","0,03",Eur / Kg. Vivo,,05-06-2006
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,05-06-2006
Porcino blanco,Normal,"1,23 / 1,24","1,26 / 1,27","0,03",Eur / Kg. Vivo,,05-06-2006
Porcino blanco,Graso,"1,25 / 1,26","1,28 / 1,29","0,03",Eur / Kg. Vivo,,05-06-2006
Porcino blanco,Cerdas,"0,58 / 0,61","0,60 / 0,63","0,02",Eur / Kg. Vivo,,05-06-2006
Lechón,Selecto,"41,50","40,00","-1,50",Eur / Unidad,,05-06-2006
Tostón, 4 A 6 Kg,"25,00","25,00","0,00",Eur / Unidad,,05-06-2006
Tostón,"6,01 A 8 Kg","28,00","28,00","0,00",Eur / Unidad,,05-06-2006
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,05-06-2006
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,05-06-2006
Porcino Ibérico,Pienso 150 Kg,"1,68 / 1,74","1,66 / 1,72","-0,02",Eur / Kg. Vivo,,05-06-2006
Porcino Ibérico,Pienso 150 Kg extensivo,"1,74 / 1,80","1,72 / 1,78","-0,02",Eur / Kg. Vivo,,05-06-2006
Porcino Ibérico,Lechones Hasta 23 Kg,"3,66 / 3,78","3,46 / 3,58","-0,20",Eur / Kg. Vivo,,05-06-2006
Porcino Ibérico,Marranos 30 - 60 Kg,"2,50 / 2,62","2,44 / 2,56","-0,06",Eur / Kg. Vivo,,05-06-2006
Porcino Ibérico,Primales,"1,85 / 1,97","1,82 / 1,94","-0,03",Eur / Kg. Vivo,,05-06-2006
Porcino Ibérico,Tostones 5 - 7 Kg,"28,00 / 38,00","28,00 / 38,00","0,00",Eur / Kg. Vivo,,05-06-2006
Ternero cruzado,Extra macho,"2,86","2,83","-0,03",Eur / Kg. Vivo,,05-06-2006
Ternero cruzado,Extra hembra,"2,46","2,43","-0,03",Eur / Kg. Vivo,,05-06-2006
Ternero cruzado,Primera macho,"2,73","2,70","-0,03",Eur / Kg. Vivo,,05-06-2006
Porcino Ibérico,Reproductoras,"220,00 / 340,00","220,00 / 340,00","0,00",Eur / Kg. Vivo,,05-06-2006
Ternero cruzado,Primera hembra,"2,37","2,34","-0,03",Eur / Kg. Vivo,,05-06-2006
Ternero cruzado,Segunda macho,"2,24","2,21","-0,03",Eur / Kg. Vivo,,05-06-2006
Ternero cruzado,Segunda hembra,"1,99","1,96","-0,03",Eur / Kg. Vivo,,05-06-2006
Ternero del país,Macho,"1,37","1,34","-0,03",Eur / Kg. Vivo,,05-06-2006
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,05-06-2006
Bovino menor 12 meses,Especial macho,"3,57","3,54","-0,03",Eur / Kg. Canal,,05-06-2006
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,63","3,60","-0,03",Eur / Kg. Canal,,05-06-2006
Bovino menor 12 meses,Extra macho,"3,51","3,48","-0,03",Eur / Kg. Canal,,05-06-2006
