Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"218,00","218,00","0,00",Eur / Tm.,,27-02-2012
Cereales,Trigo pienso,"214,00","214,00","0,00",Eur / Tm.,,27-02-2012
Cereales,Cebada,"213,00","213,00","0,00",Eur / Tm.,,27-02-2012
Cereales,Avena,"199,00","201,00","2,00",Eur / Tm.,,27-02-2012
Cereales,Centeno,"201,00","201,00","0,00",Eur / Tm.,,27-02-2012
Cereales,Maíz,"216,00","216,00","0,00",Eur / Tm.,,27-02-2012
Leguminosas,Garbanzo pedrosillano,"740,00","740,00","0,00",Eur / Tm.,,27-02-2012
Leguminosas,Lenteja de Salamanca,"1070,00","1070,00","0,00",Eur / Tm.,,27-02-2012
Leguminosas,Lenteja armuña D.O.,"1270,00","1270,00","0,00",Eur / Tm.,,27-02-2012
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,27-02-2012
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,27-02-2012
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,27-02-2012
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,27-02-2012
Forrajes,Paja paquete pequeño,"51,00","53,00","2,00",Eur / Tm.,,27-02-2012
Forrajes,Paja paquete grande,"48,00","50,00","2,00",Eur / Tm.,,27-02-2012
Lechazo,Extra,"4,30","4,30","0,00",Eur / Kg. Vivo,,27-02-2012
Lechazo,Hasta 11 Kg,"3,55","3,55","0,00",Eur / Kg. Vivo,,27-02-2012
Lechazo,"11,01 a 13 KG.","3,24","3,24","0,00",Eur / Kg. Vivo,,27-02-2012
Lechazo,"13,01 a 15 KG.","3,10","3,10","0,00",Eur / Kg. Vivo,,27-02-2012
Cordero,"15,01 a 19 KG.","3,15","3,05","-0,10",Eur / Kg. Vivo,,27-02-2012
Cordero,"19,01 a 23 KG.","2,76","2,76","0,00",Eur / Kg. Vivo,,27-02-2012
Cordero,"23,01 a 25,49 KG.","2,75","2,75","0,00",Eur / Kg. Vivo,,27-02-2012
Cordero,"25,5 a 28 KG.","2,65","2,65","0,00",Eur / Kg. Vivo,,27-02-2012
Cordero,"28,01 a 34 KG.","2,35","2,35","0,00",Eur / Kg. Vivo,,27-02-2012
Oveja,Sacrificio,"13,00 / 30,00","13,00 / 30,00","0,00",Eur / Unidad,,27-02-2012
Porcino blanco,Selecto,"1,25 / 1,26","1,29 / 1,30","0,04",Eur / Kg. Vivo,,27-02-2012
Porcino blanco,Normal,"1,24 / 1,25","1,28 / 1,29","0,04",Eur / Kg. Vivo,,27-02-2012
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,27-02-2012
Porcino blanco,Graso,"1,21 / 1,22","1,24 / 1,25","0,03",Eur / Kg. Vivo,,27-02-2012
Porcino blanco,Cerdas,"0,69 / 0,72","0,70 / 0,73","0,01",Eur / Kg. Vivo,,27-02-2012
Lechón,Selecto,"55,00","56,00","1,00",Eur / Unidad,,27-02-2012
Tostón, 4 A 6 Kg,"19,00","19,00","0,00",Eur / Unidad,,27-02-2012
Tostón,"6,01 A 8 Kg","21,00","21,00","0,00",Eur / Unidad,,27-02-2012
Porcino Ibérico,Bellota 160-170 Kg,"1,68 / 1,88","1,68 / 1,88","0,00",Eur / Kg. Vivo,,27-02-2012
Porcino Ibérico,Recebo 160-170 Kg,"1,42 / 1,68","1,42 / 1,68","0,00",Eur / Kg. Vivo,,27-02-2012
Porcino Ibérico,Pienso 150 Kg,"1,24 / 1,30","1,24 / 1,30","0,00",Eur / Kg. Vivo,,27-02-2012
Porcino Ibérico,Pienso 150 Kg extensivo,"1,32 / 1,38","1,32 / 1,38","0,00",Eur / Kg. Vivo,,27-02-2012
Porcino Ibérico,Lechones Hasta 23 Kg,"2,30 / 2,42","2,30 / 2,42","0,00",Eur / Kg. Vivo,,27-02-2012
Porcino Ibérico,Marranos 30 - 60 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,27-02-2012
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,27-02-2012
Porcino Ibérico,Tostones 5 - 7 Kg,"15,00 / 17,00","15,00 / 17,00","0,00",Eur / Kg. Vivo,,27-02-2012
Ternero cruzado,Extra macho,"2,87","2,93","0,06",Eur / Kg. Vivo,,27-02-2012
Ternero cruzado,Extra hembra,"2,20","2,26","0,06",Eur / Kg. Vivo,,27-02-2012
