Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"166,00","167,00","1,00",Eur / Tm.,,06-11-2006
Cereales,Trigo pienso,"160,00","161,00","1,00",Eur / Tm.,,06-11-2006
Cereales,Cebada,"148,00","151,00","3,00",Eur / Tm.,,06-11-2006
Cereales,Avena,"148,00","148,00","0,00",Eur / Tm.,,06-11-2006
Cereales,Centeno,"148,00","148,00","0,00",Eur / Tm.,,06-11-2006
Cereales,Maíz,"161,00","164,00","3,00",Eur / Tm.,,06-11-2006
Leguminosas,Garbanzo pedrosillano,"700,00","700,00","0,00",Eur / Tm.,,06-11-2006
Leguminosas,Lenteja de Salamanca,"1230,00","1230,00","0,00",Eur / Tm.,,06-11-2006
Leguminosas,Lenteja armuña D.O.,"1310,00","1310,00","0,00",Eur / Tm.,,06-11-2006
Oleaginosas,Girasol,"210,00","207,00","-3,00",Eur / Tm.,,06-11-2006
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,06-11-2006
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,06-11-2006
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,06-11-2006
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,06-11-2006
Forrajes,Paja paquete grande,"42,00","42,00","0,00",Eur / Tm.,,06-11-2006
Lechazo,Hasta 11 Kg,"4,65","4,25","-0,40",Eur / Kg. Vivo,,06-11-2006
Lechazo,"11,01 a 13 KG.","4,10","3,70","-0,40",Eur / Kg. Vivo,,06-11-2006
Lechazo,"13,01 a 15 KG.","3,60","3,30","-0,30",Eur / Kg. Vivo,,06-11-2006
Cordero,"15,01 a 19 KG.","2,85","2,75","-0,10",Eur / Kg. Vivo,,06-11-2006
Cordero,"19,01 a 23 KG.","2,30","2,20","-0,10",Eur / Kg. Vivo,,06-11-2006
Cordero,"23,01 a 25,49 KG.","2,15","2,10","-0,05",Eur / Kg. Vivo,,06-11-2006
Cordero,"25,5 a 28 KG.","2,10","2,05","-0,05",Eur / Kg. Vivo,,06-11-2006
Cordero,"28,01 a 34 KG.","1,75","1,70","-0,05",Eur / Kg. Vivo,,06-11-2006
Oveja,Sacrificio,"3,00 / 6,00","3,00 / 6,00","0,00",Eur / Unidad,,06-11-2006
Porcino blanco,Selecto,"0,99 / 1,00","0,99 / 1,00","0,00",Eur / Kg. Vivo,,06-11-2006
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,06-11-2006
Porcino blanco,Normal,"0,98 / 0,99","0,98 / 0,99","0,00",Eur / Kg. Vivo,,06-11-2006
Porcino blanco,Graso,"1,03 / 1,04","1,03 / 1,04","0,00",Eur / Kg. Vivo,,06-11-2006
Porcino blanco,Cerdas,"0,49 / 0,52","0,49 / 0,52","0,00",Eur / Kg. Vivo,,06-11-2006
Lechón,Selecto,"32,00","34,00","2,00",Eur / Unidad,,06-11-2006
Tostón, 4 A 6 Kg,"25,00","27,00","2,00",Eur / Unidad,,06-11-2006
Tostón,"6,01 A 8 Kg","28,00","30,00","2,00",Eur / Unidad,,06-11-2006
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,06-11-2006
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,06-11-2006
Porcino Ibérico,Pienso 150 Kg,"1,70 / 1,76","1,71 / 1,77","0,01",Eur / Kg. Vivo,,06-11-2006
Porcino Ibérico,Pienso 150 Kg extensivo,"1,76 / 1,82","1,77 / 1,83","0,01",Eur / Kg. Vivo,,06-11-2006
Porcino Ibérico,Lechones Hasta 23 Kg,"3,05 / 3,17","3,05 / 3,17","0,00",Eur / Kg. Vivo,,06-11-2006
Porcino Ibérico,Marranos 30 - 60 Kg,"2,35 / 2,47","2,35 / 2,47","0,00",Eur / Kg. Vivo,,06-11-2006
Porcino Ibérico,Primales,"2,29 / 2,41","2,29 / 2,41","0,00",Eur / Kg. Vivo,,06-11-2006
Porcino Ibérico,Tostones 5 - 7 Kg,"28,00 / 38,00","28,00 / 38,00","0,00",Eur / Kg. Vivo,,06-11-2006
Ternero cruzado,Extra macho,"2,86","2,86","0,00",Eur / Kg. Vivo,,06-11-2006
Ternero cruzado,Extra hembra,"2,37","2,37","0,00",Eur / Kg. Vivo,,06-11-2006
Ternero cruzado,Primera macho,"2,73","2,73","0,00",Eur / Kg. Vivo,,06-11-2006
Porcino Ibérico,Reproductoras,"220,00 / 340,00","220,00 / 340,00","0,00",Eur / Kg. Vivo,,06-11-2006
Ternero cruzado,Primera hembra,"2,28","2,28","0,00",Eur / Kg. Vivo,,06-11-2006
Ternero cruzado,Segunda macho,"2,24","2,24","0,00",Eur / Kg. Vivo,,06-11-2006
Ternero cruzado,Segunda hembra,"1,90","1,90","0,00",Eur / Kg. Vivo,,06-11-2006
Ternero del país,Macho,"1,37","1,37","0,00",Eur / Kg. Vivo,,06-11-2006
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,06-11-2006
Bovino menor 12 meses,Especial macho,"3,84","3,84","0,00",Eur / Kg. Canal,,06-11-2006
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,90","3,90","0,00",Eur / Kg. Canal,,06-11-2006
Bovino menor 12 meses,Extra macho,"3,78","3,78","0,00",Eur / Kg. Canal,,06-11-2006
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,84","3,84","0,00",Eur / Kg. Canal,,06-11-2006
Bovino menor 12 meses,Primera macho ,"0,00","0,00","0,00",Eur / Kg. Canal,,06-11-2006
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,75","3,75","0,00",Eur / Kg. Canal,,06-11-2006
