Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"196,00","198,00","2,00",Eur / Tm.,,04-11-2013
Cereales,Trigo pienso,"188,00","191,00","3,00",Eur / Tm.,,04-11-2013
Cereales,Cebada,"173,00","175,00","2,00",Eur / Tm.,,04-11-2013
Cereales,Avena,"163,00","164,00","1,00",Eur / Tm.,,04-11-2013
Cereales,Centeno,"163,00","164,00","1,00",Eur / Tm.,,04-11-2013
Cereales,Maíz,"189,00","189,00","0,00",Eur / Tm.,,04-11-2013
Leguminosas,Garbanzo pedrosillano,"650,00","650,00","0,00",Eur / Tm.,,04-11-2013
Leguminosas,Lenteja de Salamanca,"560,00","560,00","0,00",Eur / Tm.,,04-11-2013
Leguminosas,Lenteja armuña D.O.,"860,00","860,00","0,00",Eur / Tm.,,04-11-2013
Oleaginosas,Girasol,"300,00","300,00","0,00",Eur / Tm.,,04-11-2013
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,04-11-2013
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,04-11-2013
Oleaginosas,Guisantes,"0,00","0,00","0,00",Eur / Tm.,,04-11-2013
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,04-11-2013
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,04-11-2013
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,04-11-2013
Forrajes,Paja paquete grande,"34,00","34,00","0,00",Eur / Tm.,,04-11-2013
Lechazo,Extra,"5,90","5,90","0,00",Eur / Kg. Vivo,,04-11-2013
Lechazo,Hasta 11 Kg,"5,05","5,05","0,00",Eur / Kg. Vivo,,04-11-2013
Lechazo,"11,01 a 13 KG.","4,69","4,69","0,00",Eur / Kg. Vivo,,04-11-2013
Lechazo,"13,01 a 15 KG.","4,15","4,15","0,00",Eur / Kg. Vivo,,04-11-2013
Cordero,"15,01 a 19 KG.","3,40","3,40","0,00",Eur / Kg. Vivo,,04-11-2013
Cordero,"19,01 a 23 KG.","2,86","2,86","0,00",Eur / Kg. Vivo,,04-11-2013
Cordero,"23,01 a 25,49 KG.","2,55","2,55","0,00",Eur / Kg. Vivo,,04-11-2013
Cordero,"25,5 a 28 KG.","2,45","2,45","0,00",Eur / Kg. Vivo,,04-11-2013
Cordero,"28,01 a 34 KG.","2,25","2,25","0,00",Eur / Kg. Vivo,,04-11-2013
Porcino blanco,Selecto,"1,37 / 1,38","1,34 / 1,35","-0,03",Eur / Kg. Vivo,,04-11-2013
Oveja,Sacrificio,"7,00 / 25,00","7,00 / 25,00","0,00",Eur / Unidad,,04-11-2013
Oveja,Vida,"49,00 / 61,00","49,00 / 61,00","0,00",Eur / Unidad,,04-11-2013
Porcino blanco,Normal,"1,36 / 1,37","1,33 / 1,34","-0,03",Eur / Kg. Vivo,,04-11-2013
Porcino blanco,Graso,"1,32 / 1,33","1,29 / 1,30","-0,03",Eur / Kg. Vivo,,04-11-2013
Porcino blanco,Cerdas,"0,88 / 0,91","0,87 / 0,90","-0,01",Eur / Kg. Vivo,,04-11-2013
Lechón,Selecto,"50,00","50,00","0,00",Eur / Unidad,,04-11-2013
Tostón, 4 A 6 Kg,"29,00","29,00","0,00",Eur / Unidad,,04-11-2013
Tostón,"6,01 A 8 Kg","31,00","31,00","0,00",Eur / Unidad,,04-11-2013
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,04-11-2013
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,04-11-2013
Porcino Ibérico,Pienso 150 Kg,"2,39 / 2,45","2,39 / 2,45","0,00",Eur / Kg. Vivo,,04-11-2013
Porcino Ibérico,Pienso 150 Kg extensivo,"2,45 / 2,51","2,45 / 2,51","0,00",Eur / Kg. Vivo,,04-11-2013
Porcino Ibérico,Lechones Hasta 23 Kg,"4,65 / 4,77","4,70 / 4,82","0,05",Eur / Kg. Vivo,,04-11-2013
Porcino Ibérico,Marranos 30 - 60 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,04-11-2013
Porcino Ibérico,Primales,"2,90 / 3,10","2,90 / 3,10","0,00",Eur / Kg. Vivo,,04-11-2013
