Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"190,00","182,00","-8,00",Eur / Tm.,,18-08-2008
Cereales,Trigo pienso,"184,00","174,00","-10,00",Eur / Tm.,,18-08-2008
Cereales,Cebada,"161,00","155,00","-6,00",Eur / Tm.,,18-08-2008
Cereales,Avena,"161,00","161,00","0,00",Eur / Tm.,,18-08-2008
Cereales,Centeno,"167,00","161,00","-6,00",Eur / Tm.,,18-08-2008
Cereales,Maíz,"205,00","200,00","-5,00",Eur / Tm.,,18-08-2008
Leguminosas,Garbanzo pedrosillano,"0,00","0,00","0,00",Eur / Tm.,,18-08-2008
Leguminosas,Lenteja de Salamanca,"870,00","870,00","0,00",Eur / Tm.,,18-08-2008
Leguminosas,Lenteja armuña D.O.,"1000,00","1000,00","0,00",Eur / Tm.,,18-08-2008
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,18-08-2008
Forrajes,Forrajes (Avena),"78,00","78,00","0,00",Eur / Tm.,,18-08-2008
Forrajes,Alfalfa empacada,"180,00","180,00","0,00",Eur / Tm.,,18-08-2008
Forrajes,Veza henificada,"135,00","135,00","0,00",Eur / Tm.,,18-08-2008
Forrajes,Paja paquete pequeño,"18,00","18,00","0,00",Eur / Tm.,,18-08-2008
Forrajes,Paja paquete grande,"18,00","18,00","0,00",Eur / Tm.,,18-08-2008
Lechazo,Hasta 11 Kg,"5,00","5,40","0,40",Eur / Kg. Vivo,,18-08-2008
Lechazo,"11,01 a 13 KG.","4,50","4,90","0,40",Eur / Kg. Vivo,,18-08-2008
Lechazo,"13,01 a 15 KG.","3,00","3,20","0,20",Eur / Kg. Vivo,,18-08-2008
Cordero,"15,01 a 19 KG.","2,30","2,50","0,20",Eur / Kg. Vivo,,18-08-2008
Cordero,"19,01 a 23 KG.","2,20","2,40","0,20",Eur / Kg. Vivo,,18-08-2008
Cordero,"23,01 a 25,49 KG.","2,15","2,35","0,20",Eur / Kg. Vivo,,18-08-2008
Cordero,"25,5 a 28 KG.","2,05","2,25","0,20",Eur / Kg. Vivo,,18-08-2008
Cordero,"28,01 a 34 KG.","1,90","2,10","0,20",Eur / Kg. Vivo,,18-08-2008
Oveja,Sacrificio,"2,00 / 5,00","2,00 / 5,00","0,00",Eur / Unidad,,18-08-2008
Porcino blanco,Selecto,"1,31 / 1,32","1,31 / 1,32","0,00",Eur / Kg. Vivo,,18-08-2008
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,18-08-2008
Porcino blanco,Normal,"1,30 / 1,31","1,30 / 1,31","0,00",Eur / Kg. Vivo,,18-08-2008
Porcino blanco,Graso,"1,26 / 1,27","1,27 / 1,28","0,01",Eur / Kg. Vivo,,18-08-2008
Porcino blanco,Cerdas,"0,68 / 0,71","0,71 / 0,74","0,03",Eur / Kg. Vivo,,18-08-2008
Lechón,Selecto,"32,00","35,00","3,00",Eur / Unidad,,18-08-2008
Tostón, 4 A 6 Kg,"15,00","17,00","2,00",Eur / Unidad,,18-08-2008
Tostón,"6,01 A 8 Kg","18,00","20,00","2,00",Eur / Unidad,,18-08-2008
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,18-08-2008
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,18-08-2008
Porcino Ibérico,Pienso 150 Kg,"1,17 / 1,23","1,19 / 1,25","0,02",Eur / Kg. Vivo,,18-08-2008
Porcino Ibérico,Pienso 150 Kg extensivo,"1,23 / 1,29","1,25 / 1,31","0,02",Eur / Kg. Vivo,,18-08-2008
Porcino Ibérico,Lechones Hasta 23 Kg,"0,93 / 1,05","0,99 / 1,11","0,06",Eur / Kg. Vivo,,18-08-2008
Porcino Ibérico,Marranos 30 - 60 Kg,"0,98 / 1,10","1,04 / 1,16","0,06",Eur / Kg. Vivo,,18-08-2008
Porcino Ibérico,Primales,"1,40 / 1,60","1,46 / 1,66","0,06",Eur / Kg. Vivo,,18-08-2008
Porcino Ibérico,Tostones 5 - 7 Kg,"12,00 / 15,00","15,00 / 18,00","3,00",Eur / Kg. Vivo,,18-08-2008
Ternero cruzado,Extra macho,"1,96","2,02","0,06",Eur / Kg. Vivo,,18-08-2008
Ternero cruzado,Extra hembra,"1,77","1,83","0,06",Eur / Kg. Vivo,,18-08-2008
Ternero cruzado,Primera macho,"1,80","1,86","0,06",Eur / Kg. Vivo,,18-08-2008
Porcino Ibérico,Reproductoras,"150,00 / 210,00","150,00 / 210,00","0,00",Eur / Kg. Vivo,,18-08-2008
Ternero cruzado,Primera hembra,"1,68","1,74","0,06",Eur / Kg. Vivo,,18-08-2008
Ternero cruzado,Segunda macho,"1,41","1,47","0,06",Eur / Kg. Vivo,,18-08-2008
Ternero cruzado,Segunda hembra,"1,30","1,36","0,06",Eur / Kg. Vivo,,18-08-2008
Ternero del país,Macho,"0,89","0,95","0,06",Eur / Kg. Vivo,,18-08-2008
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,18-08-2008
Bovino menor 12 meses,Especial macho,"3,38","3,41","0,03",Eur / Kg. Canal,,18-08-2008
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,57","3,60","0,03",Eur / Kg. Canal,,18-08-2008
Bovino menor 12 meses,Extra macho,"3,32","3,35","0,03",Eur / Kg. Canal,,18-08-2008
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,51","3,54","0,03",Eur / Kg. Canal,,18-08-2008
Bovino menor 12 meses,Primera macho ,"3,08","3,11","0,03",Eur / Kg. Canal,,18-08-2008
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,42","3,45","0,03",Eur / Kg. Canal,,18-08-2008
Bovino menor 12 meses,Segunda macho,"2,85","2,88","0,03",Eur / Kg. Canal,,18-08-2008
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,33","3,36","0,03",Eur / Kg. Canal,,18-08-2008
Ternera mayor 12 meses,Especial menor 270 Kg,"3,25","3,31","0,06",Eur / Kg. Canal,,18-08-2008
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,07","3,10","0,03",Eur / Kg. Canal,,18-08-2008
Ternera mayor 12 meses,Extra menor  270 Kg,"3,22","3,28","0,06",Eur / Kg. Canal,,18-08-2008
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,01","3,04","0,03",Eur / Kg. Canal,,18-08-2008
Ternera mayor 12 meses,Primera menor 270 Kg,"3,13","3,19","0,06",Eur / Kg. Canal,,18-08-2008
Ternera mayor 12 meses,Primera mayor  270 Kg,"2,92","2,95","0,03",Eur / Kg. Canal,,18-08-2008
Ternera mayor 12 meses,Segunda menor 270 Kg,"2,95","3,01","0,06",Eur / Kg. Canal,,18-08-2008
Ternera mayor 12 meses,segunda mayor  270 Kg,"2,74","2,77","0,03",Eur / Kg. Canal,,18-08-2008
Añojo,Especial menor 350 Kg,"3,09","3,15","0,06",Eur / Kg. Canal,,18-08-2008
Añojo,Especial mayor 350 Kg,"2,94","3,00","0,06",Eur / Kg. Canal,,18-08-2008
Añojo,Extra menor 350 Kg,"3,03","3,09","0,06",Eur / Kg. Canal,,18-08-2008
Añojo,Extra mayor 350 Kg,"2,88","2,94","0,06",Eur / Kg. Canal,,18-08-2008
Añojo,Primera menor 350 Kg,"2,82","2,88","0,06",Eur / Kg. Canal,,18-08-2008
Añojo,Primera mayor 350 Kg,"2,66","2,72","0,06",Eur / Kg. Canal,,18-08-2008
Añojo,Segunda menor 350 Kg,"2,69","2,75","0,06",Eur / Kg. Canal,,18-08-2008
Añojo,Segunda mayor 350 Kg,"2,54","2,60","0,06",Eur / Kg. Canal,,18-08-2008
Erales,Extra,"2,55","2,61","0,06",Eur / Kg. Canal,,18-08-2008
Erales,Primera,"2,00","2,06","0,06",Eur / Kg. Canal,,18-08-2008
Erales,Segunda,"1,52","1,58","0,06",Eur / Kg. Canal,,18-08-2008
Novillos,Extra,"2,39","2,45","0,06",Eur / Kg. Canal,,18-08-2008
Novillos,Primera,"1,85","1,91","0,06",Eur / Kg. Canal,,18-08-2008
Novillos,Segunda,"1,37","1,43","0,06",Eur / Kg. Canal,,18-08-2008
Toro,Extra,"2,07","2,10","0,03",Eur / Kg. Canal,,18-08-2008
Toro,Primera,"1,77","1,80","0,03",Eur / Kg. Canal,,18-08-2008
Toro,Segunda,"1,65","1,68","0,03",Eur / Kg. Canal,,18-08-2008
Vaca,Extra,"2,58","2,61","0,03",Eur / Kg. Canal,,18-08-2008
Vaca,Primera,"2,28","2,31","0,03",Eur / Kg. Canal,,18-08-2008
Vaca,Segunda,"1,92","1,95","0,03",Eur / Kg. Canal,,18-08-2008
Vaca,Tercera,"1,71","1,74","0,03",Eur / Kg. Canal,,18-08-2008
Vaca,Fábrica,"1,44","1,47","0,03",Eur / Kg. Canal,,18-08-2008
