Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"136,00","137,00","1,00",Eur / Tm.,,28-08-2006
Cereales,Trigo pienso,"124,00","124,00","0,00",Eur / Tm.,,28-08-2006
Cereales,Cebada,"117,00","119,00","2,00",Eur / Tm.,,28-08-2006
Cereales,Avena,"120,00","123,00","3,00",Eur / Tm.,,28-08-2006
Cereales,Centeno,"120,00","123,00","3,00",Eur / Tm.,,28-08-2006
Cereales,Maíz,"148,00","148,00","0,00",Eur / Tm.,,28-08-2006
Leguminosas,Garbanzo pedrosillano,"0,00","630,00","630,00",Eur / Tm.,,28-08-2006
Leguminosas,Lenteja de Salamanca,"950,00","1050,00","100,00",Eur / Tm.,,28-08-2006
Leguminosas,Lenteja armuña D.O.,"1000,00","1100,00","100,00",Eur / Tm.,,28-08-2006
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,28-08-2006
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,28-08-2006
Forrajes,Alfalfa empacada,"115,00","117,00","2,00",Eur / Tm.,,28-08-2006
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,28-08-2006
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,28-08-2006
Forrajes,Paja paquete grande,"36,00","36,00","0,00",Eur / Tm.,,28-08-2006
Lechazo,Hasta 11 Kg,"5,30","5,40","0,10",Eur / Kg. Vivo,,28-08-2006
Lechazo,"11,01 a 13 KG.","4,70","4,80","0,10",Eur / Kg. Vivo,,28-08-2006
Lechazo,"13,01 a 15 KG.","4,20","4,30","0,10",Eur / Kg. Vivo,,28-08-2006
Cordero,"15,01 a 19 KG.","3,50","3,60","0,10",Eur / Kg. Vivo,,28-08-2006
Cordero,"19,01 a 23 KG.","2,85","2,95","0,10",Eur / Kg. Vivo,,28-08-2006
Cordero,"23,01 a 25,49 KG.","2,90","3,00","0,10",Eur / Kg. Vivo,,28-08-2006
Cordero,"25,5 a 28 KG.","2,55","2,65","0,10",Eur / Kg. Vivo,,28-08-2006
Cordero,"28,01 a 34 KG.","2,20","2,30","0,10",Eur / Kg. Vivo,,28-08-2006
Oveja,Sacrificio,"3,00 / 6,00","3,00 / 6,00","0,00",Eur / Unidad,,28-08-2006
Porcino blanco,Selecto,"1,33 / 1,34","1,33 / 1,34","0,00",Eur / Kg. Vivo,,28-08-2006
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,28-08-2006
Porcino blanco,Normal,"1,32 / 1,33","1,32 / 1,33","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino blanco,Graso,"1,34 / 1,35","1,34 / 1,35","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino blanco,Cerdas,"0,62 / 0,65","0,64 / 0,67","0,02",Eur / Kg. Vivo,,28-08-2006
Lechón,Selecto,"39,00","40,00","1,00",Eur / Unidad,,28-08-2006
Tostón, 4 A 6 Kg,"25,00","26,00","1,00",Eur / Unidad,,28-08-2006
Tostón,"6,01 A 8 Kg","28,00","29,00","1,00",Eur / Unidad,,28-08-2006
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino Ibérico,Pienso 150 Kg,"1,66 / 1,72","1,66 / 1,72","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino Ibérico,Pienso 150 Kg extensivo,"1,72 / 1,78","1,72 / 1,78","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino Ibérico,Lechones Hasta 23 Kg,"3,11 / 3,23","3,11 / 3,23","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino Ibérico,Marranos 30 - 60 Kg,"2,35 / 2,47","2,35 / 2,47","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino Ibérico,Primales,"1,97 / 2,09","1,97 / 2,09","0,00",Eur / Kg. Vivo,,28-08-2006
Porcino Ibérico,Tostones 5 - 7 Kg,"28,00 / 38,00","28,00 / 38,00","0,00",Eur / Kg. Vivo,,28-08-2006
Ternero cruzado,Extra macho,"2,80","2,83","0,03",Eur / Kg. Vivo,,28-08-2006
Ternero cruzado,Extra hembra,"2,37","2,37","0,00",Eur / Kg. Vivo,,28-08-2006
Ternero cruzado,Primera macho,"2,67","2,70","0,03",Eur / Kg. Vivo,,28-08-2006
Porcino Ibérico,Reproductoras,"220,00 / 340,00","220,00 / 340,00","0,00",Eur / Kg. Vivo,,28-08-2006
Ternero cruzado,Primera hembra,"2,28","2,28","0,00",Eur / Kg. Vivo,,28-08-2006
Ternero cruzado,Segunda macho,"2,18","2,21","0,03",Eur / Kg. Vivo,,28-08-2006
Ternero cruzado,Segunda hembra,"1,90","1,90","0,00",Eur / Kg. Vivo,,28-08-2006
Ternero del país,Macho,"1,31","1,34","0,03",Eur / Kg. Vivo,,28-08-2006
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,28-08-2006
Bovino menor 12 meses,Especial macho,"3,69","3,75","0,06",Eur / Kg. Canal,,28-08-2006
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,75","3,81","0,06",Eur / Kg. Canal,,28-08-2006
Bovino menor 12 meses,Extra macho,"3,63","3,69","0,06",Eur / Kg. Canal,,28-08-2006
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,69","3,75","0,06",Eur / Kg. Canal,,28-08-2006
Bovino menor 12 meses,Primera macho ,"0,00","0,00","0,00",Eur / Kg. Canal,,28-08-2006
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,60","3,66","0,06",Eur / Kg. Canal,,28-08-2006
Bovino menor 12 meses,Segunda macho,"0,00","0,00","0,00",Eur / Kg. Canal,,28-08-2006
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,51","3,57","0,06",Eur / Kg. Canal,,28-08-2006
Ternera mayor 12 meses,Especial menor 270 Kg,"3,64","3,70","0,06",Eur / Kg. Canal,,28-08-2006
