Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"194,00","200,00","6,00",Eur / Tm.,,20-09-2010
Cereales,Trigo pienso,"186,00","195,00","9,00",Eur / Tm.,,20-09-2010
Cereales,Cebada,"172,00","181,00","9,00",Eur / Tm.,,20-09-2010
Cereales,Avena,"168,00","171,00","3,00",Eur / Tm.,,20-09-2010
Cereales,Centeno,"166,00","169,00","3,00",Eur / Tm.,,20-09-2010
Cereales,Maíz,"212,00","221,00","9,00",Eur / Tm.,,20-09-2010
Leguminosas,Garbanzo pedrosillano,"470,00","470,00","0,00",Eur / Tm.,,20-09-2010
Leguminosas,Lenteja de Salamanca,"1210,00","1210,00","0,00",Eur / Tm.,,20-09-2010
Leguminosas,Lenteja armuña D.O.,"1410,00","1410,00","0,00",Eur / Tm.,,20-09-2010
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,20-09-2010
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,20-09-2010
Forrajes,Alfalfa empacada,"132,00","132,00","0,00",Eur / Tm.,,20-09-2010
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,20-09-2010
Forrajes,Paja paquete pequeño,"45,00","45,00","0,00",Eur / Tm.,,20-09-2010
Forrajes,Paja paquete grande,"42,00","42,00","0,00",Eur / Tm.,,20-09-2010
Lechazo,Hasta 11 Kg,"4,80","4,80","0,00",Eur / Kg. Vivo,,20-09-2010
Lechazo,"11,01 a 13 KG.","4,69","4,69","0,00",Eur / Kg. Vivo,,20-09-2010
Lechazo,"13,01 a 15 KG.","4,08","4,08","0,00",Eur / Kg. Vivo,,20-09-2010
Cordero,"15,01 a 19 KG.","3,38","3,38","0,00",Eur / Kg. Vivo,,20-09-2010
Cordero,"19,01 a 23 KG.","2,96","2,96","0,00",Eur / Kg. Vivo,,20-09-2010
Cordero,"23,01 a 25,49 KG.","2,71","2,71","0,00",Eur / Kg. Vivo,,20-09-2010
Cordero,"25,5 a 28 KG.","2,51","2,51","0,00",Eur / Kg. Vivo,,20-09-2010
Cordero,"28,01 a 34 KG.","2,31","2,31","0,00",Eur / Kg. Vivo,,20-09-2010
Porcino blanco,Selecto,"1,11 / 1,12","1,11 / 1,12","0,00",Eur / Kg. Vivo,,20-09-2010
Oveja,Sacrificio,"5,00 / 18,00","5,00 / 18,00","0,00",Eur / Unidad,,20-09-2010
Porcino blanco,Normal,"1,10 / 1,11","1,10 / 1,11","0,00",Eur / Kg. Vivo,,20-09-2010
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,20-09-2010
Porcino blanco,Graso,"1,12 / 1,13","1,12 / 1,13","0,00",Eur / Kg. Vivo,,20-09-2010
Porcino blanco,Cerdas,"0,56 / 0,59","0,62 / 0,65","0,06",Eur / Kg. Vivo,,20-09-2010
Lechón,Selecto,"33,00","33,00","0,00",Eur / Unidad,,20-09-2010
Tostón, 4 A 6 Kg,"23,00","23,00","0,00",Eur / Unidad,,20-09-2010
Tostón,"6,01 A 8 Kg","25,00","25,00","0,00",Eur / Unidad,,20-09-2010
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,20-09-2010
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,20-09-2010
Porcino Ibérico,Pienso 150 Kg,"1,53 / 1,59","1,54 / 1,60","0,01",Eur / Kg. Vivo,,20-09-2010
Porcino Ibérico,Pienso 150 Kg extensivo,"1,59 / 1,65","1,60 / 1,66","0,01",Eur / Kg. Vivo,,20-09-2010
Porcino Ibérico,Lechones Hasta 23 Kg,"2,14 / 2,26","2,16 / 2,28","0,02",Eur / Kg. Vivo,,20-09-2010
Porcino Ibérico,Marranos 30 - 60 Kg,"1,94 / 2,04","1,95 / 2,05","0,01",Eur / Kg. Vivo,,20-09-2010
Porcino Ibérico,Primales,"1,86 / 2,06","1,88 / 2,08","0,02",Eur / Kg. Vivo,,20-09-2010
Porcino Ibérico,Tostones 5 - 7 Kg,"22,00 / 24,00","22,00 / 24,00","0,00",Eur / Kg. Vivo,,20-09-2010
