Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"244,00","243,00","-1,00",Eur / Tm.,,28-02-2011
Cereales,Trigo pienso,"239,00","238,00","-1,00",Eur / Tm.,,28-02-2011
Cereales,Cebada,"220,00","218,00","-2,00",Eur / Tm.,,28-02-2011
Cereales,Avena,"218,00","218,00","0,00",Eur / Tm.,,28-02-2011
Cereales,Centeno,"210,00","210,00","0,00",Eur / Tm.,,28-02-2011
Cereales,Maíz,"232,00","231,00","-1,00",Eur / Tm.,,28-02-2011
Leguminosas,Garbanzo pedrosillano,"500,00","500,00","0,00",Eur / Tm.,,28-02-2011
Leguminosas,Lenteja de Salamanca,"1200,00","1200,00","0,00",Eur / Tm.,,28-02-2011
Leguminosas,Lenteja armuña D.O.,"1400,00","1400,00","0,00",Eur / Tm.,,28-02-2011
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,28-02-2011
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,28-02-2011
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,28-02-2011
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,28-02-2011
Forrajes,Paja paquete pequeño,"52,00","52,00","0,00",Eur / Tm.,,28-02-2011
Forrajes,Paja paquete grande,"49,00","49,00","0,00",Eur / Tm.,,28-02-2011
Lechazo,Extra,"4,05","3,90","-0,15",Eur / Kg. Vivo,,28-02-2011
Lechazo,Hasta 11 Kg,"3,35","3,20","-0,15",Eur / Kg. Vivo,,28-02-2011
Lechazo,"11,01 a 13 KG.","3,24","3,34","0,10",Eur / Kg. Vivo,,28-02-2011
Lechazo,"13,01 a 15 KG.","2,63","2,63","0,00",Eur / Kg. Vivo,,28-02-2011
Cordero,"15,01 a 19 KG.","2,88","2,88","0,00",Eur / Kg. Vivo,,28-02-2011
Cordero,"19,01 a 23 KG.","2,51","2,56","0,05",Eur / Kg. Vivo,,28-02-2011
Cordero,"23,01 a 25,49 KG.","2,56","2,56","0,00",Eur / Kg. Vivo,,28-02-2011
Cordero,"25,5 a 28 KG.","2,36","2,36","0,00",Eur / Kg. Vivo,,28-02-2011
Cordero,"28,01 a 34 KG.","2,16","2,16","0,00",Eur / Kg. Vivo,,28-02-2011
Oveja,Sacrificio,"5,00 / 18,00","8,00 / 25,00","3,00",Eur / Unidad,,28-02-2011
Porcino blanco,Selecto,"1,25 / 1,26","1,27 / 1,28","0,02",Eur / Kg. Vivo,,28-02-2011
Porcino blanco,Normal,"1,24 / 1,25","1,26 / 1,27","0,02",Eur / Kg. Vivo,,28-02-2011
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,28-02-2011
Porcino blanco,Graso,"1,23 / 1,24","1,25 / 1,26","0,02",Eur / Kg. Vivo,,28-02-2011
Porcino blanco,Cerdas,"0,56 / 0,59","0,57 / 0,60","0,01",Eur / Kg. Vivo,,28-02-2011
Lechón,Selecto,"53,00","54,00","1,00",Eur / Unidad,,28-02-2011
Tostón, 4 A 6 Kg,"20,00","20,00","0,00",Eur / Unidad,,28-02-2011
Tostón,"6,01 A 8 Kg","22,00","22,00","0,00",Eur / Unidad,,28-02-2011
Porcino Ibérico,Bellota 160-170 Kg,"1,85 / 2,05","1,85 / 2,05","0,00",Eur / Kg. Vivo,,28-02-2011
Porcino Ibérico,Recebo 160-170 Kg,"1,68 / 1,85","1,68 / 1,85","0,00",Eur / Kg. Vivo,,28-02-2011
Porcino Ibérico,Pienso 150 Kg,"1,52 / 1,58","1,53 / 1,59","0,01",Eur / Kg. Vivo,,28-02-2011
Porcino Ibérico,Pienso 150 Kg extensivo,"1,58 / 1,64","1,59 / 1,65","0,01",Eur / Kg. Vivo,,28-02-2011
Porcino Ibérico,Lechones Hasta 23 Kg,"2,38 / 2,50","2,43 / 2,55","0,05",Eur / Kg. Vivo,,28-02-2011
Porcino Ibérico,Marranos 30 - 60 Kg,"1,78 / 1,88","1,78 / 1,88","0,00",Eur / Kg. Vivo,,28-02-2011
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,28-02-2011
Porcino Ibérico,Tostones 5 - 7 Kg,"17,00 / 19,00","17,00 / 19,00","0,00",Eur / Kg. Vivo,,28-02-2011
Ternero cruzado,Extra macho,"2,45","2,48","0,03",Eur / Kg. Vivo,,28-02-2011
Ternero cruzado,Extra hembra,"2,05","2,08","0,03",Eur / Kg. Vivo,,28-02-2011
Porcino Ibérico,Reproductoras,"200,00 / 255,00","200,00 / 255,00","0,00",Eur / Kg. Vivo,,28-02-2011
Ternero cruzado,Primera macho,"2,29","2,32","0,03",Eur / Kg. Vivo,,28-02-2011
Ternero cruzado,Primera hembra,"1,96","1,99","0,03",Eur / Kg. Vivo,,28-02-2011
Ternero cruzado,Segunda macho,"1,87","1,90","0,03",Eur / Kg. Vivo,,28-02-2011
Ternero cruzado,Segunda hembra,"1,58","1,61","0,03",Eur / Kg. Vivo,,28-02-2011
Ternero del país,Macho,"1,35","1,38","0,03",Eur / Kg. Vivo,,28-02-2011
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,28-02-2011
Bovino menor 12 meses,Especial macho,"3,74","3,68","-0,06",Eur / Kg. Canal,,28-02-2011
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,84","3,81","-0,03",Eur / Kg. Canal,,28-02-2011
Bovino menor 12 meses,Extra macho,"3,68","3,62","-0,06",Eur / Kg. Canal,,28-02-2011
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,78","3,75","-0,03",Eur / Kg. Canal,,28-02-2011
Bovino menor 12 meses,Primera macho ,"3,50","3,44","-0,06",Eur / Kg. Canal,,28-02-2011
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,69","3,66","-0,03",Eur / Kg. Canal,,28-02-2011
Bovino menor 12 meses,Segunda macho,"3,21","3,15","-0,06",Eur / Kg. Canal,,28-02-2011
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,60","3,57","-0,03",Eur / Kg. Canal,,28-02-2011
Ternera mayor 12 meses,Especial menor 270 Kg,"3,73","3,70","-0,03",Eur / Kg. Canal,,28-02-2011
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,67","3,64","-0,03",Eur / Kg. Canal,,28-02-2011
Ternera mayor 12 meses,Extra menor  270 Kg,"3,70","3,67","-0,03",Eur / Kg. Canal,,28-02-2011
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,61","3,58","-0,03",Eur / Kg. Canal,,28-02-2011
Ternera mayor 12 meses,Primera menor 270 Kg,"3,61","3,58","-0,03",Eur / Kg. Canal,,28-02-2011
Ternera mayor 12 meses,Primera mayor  270 Kg,"3,52","3,49","-0,03",Eur / Kg. Canal,,28-02-2011
Ternera mayor 12 meses,Segunda menor 270 Kg,"3,43","3,40","-0,03",Eur / Kg. Canal,,28-02-2011
Ternera mayor 12 meses,segunda mayor  270 Kg,"3,34","3,31","-0,03",Eur / Kg. Canal,,28-02-2011
Añojo,Especial menor 350 Kg,"3,63","3,57","-0,06",Eur / Kg. Canal,,28-02-2011
Añojo,Especial mayor 350 Kg,"3,57","3,51","-0,06",Eur / Kg. Canal,,28-02-2011
Añojo,Extra menor 350 Kg,"3,57","3,51","-0,06",Eur / Kg. Canal,,28-02-2011
Añojo,Extra mayor 350 Kg,"3,51","3,45","-0,06",Eur / Kg. Canal,,28-02-2011
Añojo,Primera menor 350 Kg,"3,45","3,39","-0,06",Eur / Kg. Canal,,28-02-2011
Añojo,Primera mayor 350 Kg,"3,35","3,29","-0,06",Eur / Kg. Canal,,28-02-2011
Añojo,Segunda menor 350 Kg,"3,20","3,14","-0,06",Eur / Kg. Canal,,28-02-2011
Añojo,Segunda mayor 350 Kg,"3,17","3,11","-0,06",Eur / Kg. Canal,,28-02-2011
Erales,Extra,"2,70","2,64","-0,06",Eur / Kg. Canal,,28-02-2011
Erales,Primera,"2,15","2,09","-0,06",Eur / Kg. Canal,,28-02-2011
Erales,Segunda,"1,67","1,61","-0,06",Eur / Kg. Canal,,28-02-2011
Novillos,Extra,"2,34","2,34","0,00",Eur / Kg. Canal,,28-02-2011
Novillos,Primera,"2,04","2,04","0,00",Eur / Kg. Canal,,28-02-2011
Novillos,Segunda,"1,56","1,56","0,00",Eur / Kg. Canal,,28-02-2011
Toro,Extra,"2,16","2,16","0,00",Eur / Kg. Canal,,28-02-2011
