Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"151,00","149,00","-2,00",Eur / Tm.,,22-02-2010
Cereales,Trigo pienso,"141,00","139,00","-2,00",Eur / Tm.,,22-02-2010
Cereales,Cebada,"126,00","124,00","-2,00",Eur / Tm.,,22-02-2010
Cereales,Avena,"128,00","126,00","-2,00",Eur / Tm.,,22-02-2010
Cereales,Centeno,"125,00","123,00","-2,00",Eur / Tm.,,22-02-2010
Cereales,Maíz,"150,00","150,00","0,00",Eur / Tm.,,22-02-2010
Leguminosas,Garbanzo pedrosillano,"500,00","500,00","0,00",Eur / Tm.,,22-02-2010
Leguminosas,Lenteja de Salamanca,"1000,00","1030,00","30,00",Eur / Tm.,,22-02-2010
Leguminosas,Lenteja armuña D.O.,"1100,00","1130,00","30,00",Eur / Tm.,,22-02-2010
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,22-02-2010
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,22-02-2010
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,22-02-2010
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,22-02-2010
Forrajes,Paja paquete pequeño,"66,00","66,00","0,00",Eur / Tm.,,22-02-2010
Forrajes,Paja paquete grande,"64,00","64,00","0,00",Eur / Tm.,,22-02-2010
Lechazo,Hasta 11 Kg,"3,05","2,90","-0,15",Eur / Kg. Vivo,,22-02-2010
Lechazo,"11,01 a 13 KG.","2,90","2,75","-0,15",Eur / Kg. Vivo,,22-02-2010
Lechazo,"13,01 a 15 KG.","2,45","2,30","-0,15",Eur / Kg. Vivo,,22-02-2010
Cordero,"15,01 a 19 KG.","2,15","2,15","0,00",Eur / Kg. Vivo,,22-02-2010
Cordero,"19,01 a 23 KG.","2,20","2,20","0,00",Eur / Kg. Vivo,,22-02-2010
Cordero,"23,01 a 25,49 KG.","2,05","2,05","0,00",Eur / Kg. Vivo,,22-02-2010
Cordero,"25,5 a 28 KG.","1,85","1,85","0,00",Eur / Kg. Vivo,,22-02-2010
Cordero,"28,01 a 34 KG.","1,70","1,70","0,00",Eur / Kg. Vivo,,22-02-2010
Oveja,Sacrificio,"2,00 / 15,00","2,00 / 15,00","0,00",Eur / Unidad,,22-02-2010
Porcino blanco,Selecto,"1,10 / 1,11","1,13 / 1,14","0,03",Eur / Kg. Vivo,,22-02-2010
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,22-02-2010
Porcino blanco,Normal,"1,09 / 1,10","1,12 / 1,13","0,03",Eur / Kg. Vivo,,22-02-2010
Porcino blanco,Graso,"1,08 / 1,09","1,11 / 1,12","0,03",Eur / Kg. Vivo,,22-02-2010
Porcino blanco,Cerdas,"0,61 / 0,64","0,61 / 0,64","0,00",Eur / Kg. Vivo,,22-02-2010
Lechón,Selecto,"48,00","49,00","1,00",Eur / Unidad,,22-02-2010
Tostón, 4 A 6 Kg,"21,00","22,00","1,00",Eur / Unidad,,22-02-2010
Tostón,"6,01 A 8 Kg","23,00","24,00","1,00",Eur / Unidad,,22-02-2010
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,22-02-2010
Porcino Ibérico,Recebo 160-170 Kg,"1,54 / 1,71","1,54 / 1,71","0,00",Eur / Kg. Vivo,,22-02-2010
Porcino Ibérico,Pienso 150 Kg,"1,42 / 1,48","1,42 / 1,48","0,00",Eur / Kg. Vivo,,22-02-2010
Porcino Ibérico,Pienso 150 Kg extensivo,"1,48 / 1,54","1,48 / 1,54","0,00",Eur / Kg. Vivo,,22-02-2010
Porcino Ibérico,Lechones Hasta 23 Kg,"2,92 / 3,04","3,02 / 3,14","0,10",Eur / Kg. Vivo,,22-02-2010
Porcino Ibérico,Marranos 30 - 60 Kg,"2,15 / 2,25","2,18 / 2,28","0,03",Eur / Kg. Vivo,,22-02-2010
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,22-02-2010
