Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"247,00","247,00","0,00",Eur / Tm.,,17-03-2008
Cereales,Trigo pienso,"235,00","235,00","0,00",Eur / Tm.,,17-03-2008
Cereales,Cebada,"219,00","219,00","0,00",Eur / Tm.,,17-03-2008
Cereales,Avena,"206,00","206,00","0,00",Eur / Tm.,,17-03-2008
Cereales,Centeno,"0,00","0,00","0,00",Eur / Tm.,,17-03-2008
Cereales,Maíz,"227,00","225,00","-2,00",Eur / Tm.,,17-03-2008
Leguminosas,Garbanzo pedrosillano,"600,00","600,00","0,00",Eur / Tm.,,17-03-2008
Leguminosas,Lenteja de Salamanca,"900,00","900,00","0,00",Eur / Tm.,,17-03-2008
Leguminosas,Lenteja armuña D.O.,"1100,00","1100,00","0,00",Eur / Tm.,,17-03-2008
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,17-03-2008
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,17-03-2008
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,17-03-2008
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,17-03-2008
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,17-03-2008
Forrajes,Paja paquete grande,"39,00","39,00","0,00",Eur / Tm.,,17-03-2008
Lechazo,Hasta 11 Kg,"2,70","2,65","-0,05",Eur / Kg. Vivo,,17-03-2008
Lechazo,"11,01 a 13 KG.","2,60","2,50","-0,10",Eur / Kg. Vivo,,17-03-2008
Lechazo,"13,01 a 15 KG.","2,25","2,15","-0,10",Eur / Kg. Vivo,,17-03-2008
Cordero,"15,01 a 19 KG.","2,30","2,20","-0,10",Eur / Kg. Vivo,,17-03-2008
Cordero,"19,01 a 23 KG.","2,20","2,10","-0,10",Eur / Kg. Vivo,,17-03-2008
Cordero,"23,01 a 25,49 KG.","2,15","2,05","-0,10",Eur / Kg. Vivo,,17-03-2008
Cordero,"25,5 a 28 KG.","2,05","1,95","-0,10",Eur / Kg. Vivo,,17-03-2008
Cordero,"28,01 a 34 KG.","2,00","1,90","-0,10",Eur / Kg. Vivo,,17-03-2008
Oveja,Sacrificio,"3,00 / 6,00","3,00 / 6,00","0,00",Eur / Unidad,,17-03-2008
Porcino blanco,Selecto,"1,21 / 1,22","1,21 / 1,22","0,00",Eur / Kg. Vivo,,17-03-2008
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,17-03-2008
Porcino blanco,Normal,"1,20 / 1,21","1,20 / 1,21","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino blanco,Graso,"1,20 / 1,21","1,20 / 1,21","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino blanco,Cerdas,"0,53 / 0,56","0,53 / 0,56","0,00",Eur / Kg. Vivo,,17-03-2008
Lechón,Selecto,"50,00","50,00","0,00",Eur / Unidad,,17-03-2008
Tostón, 4 A 6 Kg,"15,00","15,00","0,00",Eur / Unidad,,17-03-2008
Tostón,"6,01 A 8 Kg","19,00","19,00","0,00",Eur / Unidad,,17-03-2008
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino Ibérico,Recebo 160-170 Kg,"1,38 / 1,86","1,38 / 1,86","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino Ibérico,Pienso 150 Kg,"1,19 / 1,25","1,19 / 1,25","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino Ibérico,Pienso 150 Kg extensivo,"1,25 / 1,31","1,25 / 1,31","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino Ibérico,Lechones Hasta 23 Kg,"1,25 / 1,37","1,25 / 1,37","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino Ibérico,Marranos 30 - 60 Kg,"1,48 / 1,60","1,48 / 1,60","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino Ibérico,Tostones 5 - 7 Kg,"12,00 / 16,00","12,00 / 16,00","0,00",Eur / Kg. Vivo,,17-03-2008
Ternero cruzado,Extra macho,"2,11","2,11","0,00",Eur / Kg. Vivo,,17-03-2008
Ternero cruzado,Extra hembra,"2,10","2,13","0,03",Eur / Kg. Vivo,,17-03-2008
Ternero cruzado,Primera macho,"1,95","1,95","0,00",Eur / Kg. Vivo,,17-03-2008
Porcino Ibérico,Reproductoras,"210,00 / 270,00","210,00 / 270,00","0,00",Eur / Kg. Vivo,,17-03-2008
Ternero cruzado,Primera hembra,"2,01","2,04","0,03",Eur / Kg. Vivo,,17-03-2008
Ternero cruzado,Segunda macho,"1,56","1,56","0,00",Eur / Kg. Vivo,,17-03-2008
Ternero cruzado,Segunda hembra,"1,63","1,66","0,03",Eur / Kg. Vivo,,17-03-2008
Ternero del país,Macho,"1,04","1,04","0,00",Eur / Kg. Vivo,,17-03-2008
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,17-03-2008
Bovino menor 12 meses,Especial macho,"3,47","3,47","0,00",Eur / Kg. Canal,,17-03-2008
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,78","3,78","0,00",Eur / Kg. Canal,,17-03-2008
Bovino menor 12 meses,Extra macho,"3,41","3,41","0,00",Eur / Kg. Canal,,17-03-2008
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,72","3,72","0,00",Eur / Kg. Canal,,17-03-2008
Bovino menor 12 meses,Primera macho ,"3,17","3,17","0,00",Eur / Kg. Canal,,17-03-2008
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,63","3,63","0,00",Eur / Kg. Canal,,17-03-2008
Bovino menor 12 meses,Segunda macho,"2,94","2,94","0,00",Eur / Kg. Canal,,17-03-2008
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,54","3,54","0,00",Eur / Kg. Canal,,17-03-2008
Ternera mayor 12 meses,Especial menor 270 Kg,"3,64","3,64","0,00",Eur / Kg. Canal,,17-03-2008
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,52","3,52","0,00",Eur / Kg. Canal,,17-03-2008
Ternera mayor 12 meses,Extra menor  270 Kg,"3,61","3,61","0,00",Eur / Kg. Canal,,17-03-2008
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,46","3,46","0,00",Eur / Kg. Canal,,17-03-2008
