Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"209,00","213,00","4,00",Eur / Tm.,,13-12-2010
Cereales,Trigo pienso,"206,00","210,00","4,00",Eur / Tm.,,13-12-2010
Cereales,Cebada,"195,00","200,00","5,00",Eur / Tm.,,13-12-2010
Cereales,Avena,"179,00","184,00","5,00",Eur / Tm.,,13-12-2010
Cereales,Centeno,"177,00","182,00","5,00",Eur / Tm.,,13-12-2010
Cereales,Maíz,"213,00","218,00","5,00",Eur / Tm.,,13-12-2010
Leguminosas,Garbanzo pedrosillano,"485,00","485,00","0,00",Eur / Tm.,,13-12-2010
Leguminosas,Lenteja de Salamanca,"1245,00","1245,00","0,00",Eur / Tm.,,13-12-2010
Leguminosas,Lenteja armuña D.O.,"1445,00","1445,00","0,00",Eur / Tm.,,13-12-2010
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,13-12-2010
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,13-12-2010
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,13-12-2010
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,13-12-2010
Forrajes,Paja paquete pequeño,"58,00","58,00","0,00",Eur / Tm.,,13-12-2010
Forrajes,Paja paquete grande,"55,00","55,00","0,00",Eur / Tm.,,13-12-2010
Lechazo,Hasta 11 Kg,"4,20","4,60","0,40",Eur / Kg. Vivo,,13-12-2010
Lechazo,"11,01 a 13 KG.","4,09","4,49","0,40",Eur / Kg. Vivo,,13-12-2010
Lechazo,"13,01 a 15 KG.","3,48","3,88","0,40",Eur / Kg. Vivo,,13-12-2010
Cordero,"15,01 a 19 KG.","3,18","3,28","0,10",Eur / Kg. Vivo,,13-12-2010
Cordero,"19,01 a 23 KG.","2,81","2,91","0,10",Eur / Kg. Vivo,,13-12-2010
Cordero,"23,01 a 25,49 KG.","2,61","2,71","0,10",Eur / Kg. Vivo,,13-12-2010
Cordero,"25,5 a 28 KG.","2,41","2,51","0,10",Eur / Kg. Vivo,,13-12-2010
Cordero,"28,01 a 34 KG.","2,21","2,31","0,10",Eur / Kg. Vivo,,13-12-2010
Oveja,Sacrificio,"5,00 / 18,00","5,00 / 18,00","0,00",Eur / Unidad,,13-12-2010
Porcino blanco,Selecto,"1,02 / 1,03","1,03 / 1,04","0,01",Eur / Kg. Vivo,,13-12-2010
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,13-12-2010
Porcino blanco,Normal,"1,01 / 1,02","1,02 / 1,03","0,01",Eur / Kg. Vivo,,13-12-2010
Porcino blanco,Graso,"1,03 / 1,04","1,04 / 1,05","0,01",Eur / Kg. Vivo,,13-12-2010
Porcino blanco,Cerdas,"0,56 / 0,59","0,56 / 0,59","0,00",Eur / Kg. Vivo,,13-12-2010
Lechón,Selecto,"37,00","38,00","1,00",Eur / Unidad,,13-12-2010
Tostón, 4 A 6 Kg,"31,00","33,00","2,00",Eur / Unidad,,13-12-2010
Tostón,"6,01 A 8 Kg","33,00","35,00","2,00",Eur / Unidad,,13-12-2010
Porcino Ibérico,Bellota 160-170 Kg,"1,85 / 2,05","1,85 / 2,05","0,00",Eur / Kg. Vivo,,13-12-2010
Porcino Ibérico,Recebo 160-170 Kg,"1,68 / 1,85","1,68 / 1,85","0,00",Eur / Kg. Vivo,,13-12-2010
Porcino Ibérico,Pienso 150 Kg,"1,56 / 1,62","1,56 / 1,62","0,00",Eur / Kg. Vivo,,13-12-2010
Porcino Ibérico,Pienso 150 Kg extensivo,"1,62 / 1,68","1,62 / 1,68","0,00",Eur / Kg. Vivo,,13-12-2010
Porcino Ibérico,Lechones Hasta 23 Kg,"2,05 / 2,17","2,01 / 2,13","-0,04",Eur / Kg. Vivo,,13-12-2010
Porcino Ibérico,Marranos 30 - 60 Kg,"1,82 / 1,92","1,78 / 1,88","-0,04",Eur / Kg. Vivo,,13-12-2010
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,13-12-2010
Porcino Ibérico,Tostones 5 - 7 Kg,"29,00 / 31,00","29,00 / 31,00","0,00",Eur / Kg. Vivo,,13-12-2010
Ternero cruzado,Extra macho,"2,45","2,45","0,00",Eur / Kg. Vivo,,13-12-2010
