Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"263,00","263,00","0,00",Eur / Tm.,,21-01-2008
Cereales,Trigo pienso,"251,00","251,00","0,00",Eur / Tm.,,21-01-2008
Cereales,Cebada,"240,00","240,00","0,00",Eur / Tm.,,21-01-2008
Cereales,Avena,"192,00","195,00","3,00",Eur / Tm.,,21-01-2008
Cereales,Centeno,"235,00","235,00","0,00",Eur / Tm.,,21-01-2008
Cereales,Maíz,"242,00","242,00","0,00",Eur / Tm.,,21-01-2008
Leguminosas,Garbanzo pedrosillano,"550,00","550,00","0,00",Eur / Tm.,,21-01-2008
Leguminosas,Lenteja de Salamanca,"1000,00","1000,00","0,00",Eur / Tm.,,21-01-2008
Leguminosas,Lenteja armuña D.O.,"1200,00","1200,00","0,00",Eur / Tm.,,21-01-2008
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,21-01-2008
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,21-01-2008
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,21-01-2008
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,21-01-2008
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,21-01-2008
Forrajes,Paja paquete grande,"42,00","42,00","0,00",Eur / Tm.,,21-01-2008
Lechazo,Hasta 11 Kg,"2,50","2,50","0,00",Eur / Kg. Vivo,,21-01-2008
Lechazo,"11,01 a 13 KG.","2,50","2,50","0,00",Eur / Kg. Vivo,,21-01-2008
Lechazo,"13,01 a 15 KG.","2,15","2,15","0,00",Eur / Kg. Vivo,,21-01-2008
Cordero,"15,01 a 19 KG.","2,30","2,30","0,00",Eur / Kg. Vivo,,21-01-2008
Cordero,"19,01 a 23 KG.","2,35","2,35","0,00",Eur / Kg. Vivo,,21-01-2008
Cordero,"23,01 a 25,49 KG.","2,15","2,15","0,00",Eur / Kg. Vivo,,21-01-2008
Cordero,"25,5 a 28 KG.","1,95","1,95","0,00",Eur / Kg. Vivo,,21-01-2008
Cordero,"28,01 a 34 KG.","1,80","1,80","0,00",Eur / Kg. Vivo,,21-01-2008
Oveja,Sacrificio,"3,00 / 6,00","3,00 / 6,00","0,00",Eur / Unidad,,21-01-2008
