Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"183,00","183,00","0,00",Eur / Tm.,,21-09-2015
Cereales,Cebada,"175,00","175,00","0,00",Eur / Tm.,,21-09-2015
Cereales,Trigo pienso,"178,00","178,00","0,00",Eur / Tm.,,21-09-2015
Cereales,Avena,"180,00","180,00","0,00",Eur / Tm.,,21-09-2015
Cereales,Centeno,"167,00","167,00","0,00",Eur / Tm.,,21-09-2015
Cereales,Maíz,"182,00","182,00","0,00",Eur / Tm.,,21-09-2015
Leguminosas,Garbanzo pedrosillano,"500,00","500,00","0,00",Eur / Tm.,,21-09-2015
Leguminosas,Lenteja de Salamanca,"0,00","0,00","0,00",Eur / Tm.,,21-09-2015
Leguminosas,Lenteja armuña D.O.,"1200,00","1200,00","0,00",Eur / Tm.,,21-09-2015
Oleaginosas,Girasol,"361,00","366,00","5,00",Eur / Tm.,,21-09-2015
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,21-09-2015
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,21-09-2015
Oleaginosas,Guisantes,"0,00","0,00","0,00",Eur / Tm.,,21-09-2015
Forrajes,Alfalfa empacada,"188,00","188,00","0,00",Eur / Tm.,,21-09-2015
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,21-09-2015
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,21-09-2015
Forrajes,Paja paquete grande,"36,00","36,00","0,00",Eur / Tm.,,21-09-2015
Lechazo,Extra,"5,95","5,95","0,00",Eur / Kg. Vivo,,21-09-2015
Lechazo,Hasta 11 Kg,"5,50","5,50","0,00",Eur / Kg. Vivo,,21-09-2015
Lechazo,"11,01 a 13 KG.","5,20","5,20","0,00",Eur / Kg. Vivo,,21-09-2015
Lechazo,"13,01 a 15 KG.","4,75","4,75","0,00",Eur / Kg. Vivo,,21-09-2015
Cordero,"15,01 a 19 KG.","3,45","3,55","0,10",Eur / Kg. Vivo,,21-09-2015
Cordero,"19,01 a 23 KG.","3,01","3,11","0,10",Eur / Kg. Vivo,,21-09-2015
Cordero,"23,01 a 25,49 KG.","2,95","3,05","0,10",Eur / Kg. Vivo,,21-09-2015
Cordero,"25,5 a 28 KG.","2,65","2,75","0,10",Eur / Kg. Vivo,,21-09-2015
Cordero,"28,01 a 34 KG.","2,50","2,60","0,10",Eur / Kg. Vivo,,21-09-2015
Porcino blanco,Selecto,"1,21 / 1,22","1,19 / 1,20","-0,02",Eur / Kg. Vivo,,21-09-2015
Oveja,Sacrificio,"10,00 / 35,00","15,00 / 50,00","5,00",Eur / Unidad,,21-09-2015
Porcino blanco,Normal,"1,20 / 1,21","1,18 / 1,19","-0,02",Eur / Kg. Vivo,,21-09-2015
Oveja,Vida,"55,00 / 75,00","80,00 / 100,00","25,00",Eur / Unidad,,21-09-2015
Porcino blanco,Graso,"1,16 / 1,17","1,14 / 1,15","-0,02",Eur / Kg. Vivo,,21-09-2015
Porcino blanco,Cerdas,"0,51 / 0,54","0,51 / 0,54","0,00",Eur / Kg. Vivo,,21-09-2015
Lechón,Selecto,"36,00","37,00","1,00",Eur / Unidad,,21-09-2015
Tostón, 4 A 6 Kg,"18,00","18,00","0,00",Eur / Unidad,,21-09-2015
Tostón,"6,01 A 8 Kg","20,00","20,00","0,00",Eur / Unidad,,21-09-2015
Porcino Ibérico,Bellota 50% IB,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Recebo,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Cebo de campo,"1,95 / 2,01","1,95 / 2,01","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Cebo,"1,87 / 1,93","1,87 / 1,93","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Lechones hasta 23 Kg (Gran partida),"2,13 / 2,25","2,13 / 2,25","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Lechones hasta 23 kg (Recogida),"1,70 / 1,82","1,70 / 1,82","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Marranos 30 - 60 Kg,"2,08 / 2,43","2,08 / 2,43","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Primales,"0,00 / 0,00","2,75 / 3,05","2,75",Eur / Kg. Vivo,,21-09-2015
Ternero cruzado,Extra macho,"0,00","0,00","0,00",Eur / Kg. Vivo,,21-09-2015
Ternero cruzado,Extra hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,21-09-2015
Ternero cruzado,Primera macho,"3,05","3,05","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Tostones (5 - 8 Kg),"12,00 / 14,00","12,00 / 14,00","0,00",Eur / Unidad,,21-09-2015
Ternero cruzado,Primera hembra,"2,32","2,32","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Tostones (9 - 12 Kg),"15,00 / 20,00","15,00 / 20,00","0,00",Eur / Unidad,,21-09-2015
Ternero cruzado,Segunda macho,"2,44","2,44","0,00",Eur / Kg. Vivo,,21-09-2015
Porcino Ibérico,Reproductoras < de 6 meses,"230,00 / 280,00","230,00 / 280,00","0,00",Eur / Unidad,,21-09-2015
Ternero cruzado,Segunda hembra,"2,08","2,08","0,00",Eur / Kg. Vivo,,21-09-2015
