Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"148,00","147,00","-1,00",Eur / Tm.,,31-05-2010
Cereales,Trigo pienso,"142,00","142,00","0,00",Eur / Tm.,,31-05-2010
Cereales,Cebada,"123,00","122,00","-1,00",Eur / Tm.,,31-05-2010
Cereales,Avena,"125,00","123,00","-2,00",Eur / Tm.,,31-05-2010
Cereales,Centeno,"122,00","121,00","-1,00",Eur / Tm.,,31-05-2010
Cereales,Maíz,"162,00","162,00","0,00",Eur / Tm.,,31-05-2010
Leguminosas,Garbanzo pedrosillano,"525,00","500,00","-25,00",Eur / Tm.,,31-05-2010
Leguminosas,Lenteja de Salamanca,"1030,00","1030,00","0,00",Eur / Tm.,,31-05-2010
Leguminosas,Lenteja armuña D.O.,"1130,00","1130,00","0,00",Eur / Tm.,,31-05-2010
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,31-05-2010
Forrajes,Forrajes (Avena),"0,00","75,00","75,00",Eur / Tm.,,31-05-2010
Forrajes,Alfalfa empacada,"140,00","140,00","0,00",Eur / Tm.,,31-05-2010
Forrajes,Veza henificada,"0,00","105,00","105,00",Eur / Tm.,,31-05-2010
Forrajes,Paja paquete pequeño,"66,00","66,00","0,00",Eur / Tm.,,31-05-2010
Forrajes,Paja paquete grande,"64,00","64,00","0,00",Eur / Tm.,,31-05-2010
Lechazo,Hasta 11 Kg,"3,75","3,75","0,00",Eur / Kg. Vivo,,31-05-2010
Lechazo,"11,01 a 13 KG.","3,60","3,60","0,00",Eur / Kg. Vivo,,31-05-2010
Lechazo,"13,01 a 15 KG.","3,00","3,00","0,00",Eur / Kg. Vivo,,31-05-2010
Cordero,"15,01 a 19 KG.","2,35","2,35","0,00",Eur / Kg. Vivo,,31-05-2010
Cordero,"19,01 a 23 KG.","2,25","2,25","0,00",Eur / Kg. Vivo,,31-05-2010
Cordero,"23,01 a 25,49 KG.","1,90","1,90","0,00",Eur / Kg. Vivo,,31-05-2010
Cordero,"25,5 a 28 KG.","1,85","1,85","0,00",Eur / Kg. Vivo,,31-05-2010
Cordero,"28,01 a 34 KG.","1,70","1,70","0,00",Eur / Kg. Vivo,,31-05-2010
Oveja,Sacrificio,"2,00 / 15,00","2,00 / 15,00","0,00",Eur / Unidad,,31-05-2010
Porcino blanco,Selecto,"1,19 / 1,20","1,22 / 1,23","0,03",Eur / Kg. Vivo,,31-05-2010
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,31-05-2010
Porcino blanco,Normal,"1,18 / 1,19","1,21 / 1,22","0,03",Eur / Kg. Vivo,,31-05-2010
Porcino blanco,Graso,"1,21 / 1,22","1,24 / 1,25","0,03",Eur / Kg. Vivo,,31-05-2010
Porcino blanco,Cerdas,"0,61 / 0,64","0,63 / 0,66","0,02",Eur / Kg. Vivo,,31-05-2010
Lechón,Selecto,"43,00","43,00","0,00",Eur / Unidad,,31-05-2010
Tostón, 4 A 6 Kg,"26,00","26,00","0,00",Eur / Unidad,,31-05-2010
Tostón,"6,01 A 8 Kg","28,00","28,00","0,00",Eur / Unidad,,31-05-2010
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,31-05-2010
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,31-05-2010
Porcino Ibérico,Pienso 150 Kg,"1,53 / 1,59","1,53 / 1,59","0,00",Eur / Kg. Vivo,,31-05-2010
Porcino Ibérico,Pienso 150 Kg extensivo,"1,59 / 1,65","1,59 / 1,65","0,00",Eur / Kg. Vivo,,31-05-2010
Porcino Ibérico,Lechones Hasta 23 Kg,"3,13 / 3,25","3,13 / 3,25","0,00",Eur / Kg. Vivo,,31-05-2010
Porcino Ibérico,Marranos 30 - 60 Kg,"2,29 / 2,39","2,29 / 2,39","0,00",Eur / Kg. Vivo,,31-05-2010
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,31-05-2010
Porcino Ibérico,Tostones 5 - 7 Kg,"25,00 / 27,00","25,00 / 27,00","0,00",Eur / Kg. Vivo,,31-05-2010
Ternero cruzado,Extra macho,"2,72","2,72","0,00",Eur / Kg. Vivo,,31-05-2010
Ternero cruzado,Extra hembra,"2,08","2,05","-0,03",Eur / Kg. Vivo,,31-05-2010
Ternero cruzado,Primera macho,"2,56","2,56","0,00",Eur / Kg. Vivo,,31-05-2010
Porcino Ibérico,Reproductoras,"280,00 / 320,00","280,00 / 320,00","0,00",Eur / Kg. Vivo,,31-05-2010
Ternero cruzado,Primera hembra,"1,99","1,96","-0,03",Eur / Kg. Vivo,,31-05-2010
Ternero cruzado,Segunda macho,"2,14","2,14","0,00",Eur / Kg. Vivo,,31-05-2010
Ternero cruzado,Segunda hembra,"1,61","1,58","-0,03",Eur / Kg. Vivo,,31-05-2010
Ternero del país,Macho,"1,62","1,62","0,00",Eur / Kg. Vivo,,31-05-2010
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,31-05-2010
Bovino menor 12 meses,Especial macho,"3,26","3,26","0,00",Eur / Kg. Canal,,31-05-2010
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,39","3,39","0,00",Eur / Kg. Canal,,31-05-2010
Bovino menor 12 meses,Extra macho,"3,20","3,20","0,00",Eur / Kg. Canal,,31-05-2010
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,33","3,33","0,00",Eur / Kg. Canal,,31-05-2010
Bovino menor 12 meses,Primera macho ,"3,02","3,02","0,00",Eur / Kg. Canal,,31-05-2010
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,24","3,24","0,00",Eur / Kg. Canal,,31-05-2010
Bovino menor 12 meses,Segunda macho,"2,73","2,73","0,00",Eur / Kg. Canal,,31-05-2010
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,15","3,15","0,00",Eur / Kg. Canal,,31-05-2010
Ternera mayor 12 meses,Especial menor 270 Kg,"3,28","3,28","0,00",Eur / Kg. Canal,,31-05-2010
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,19","3,19","0,00",Eur / Kg. Canal,,31-05-2010
Ternera mayor 12 meses,Extra menor  270 Kg,"3,25","3,25","0,00",Eur / Kg. Canal,,31-05-2010
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,13","3,13","0,00",Eur / Kg. Canal,,31-05-2010
Ternera mayor 12 meses,Primera menor 270 Kg,"3,16","3,16","0,00",Eur / Kg. Canal,,31-05-2010
Ternera mayor 12 meses,Primera mayor  270 Kg,"3,04","3,04","0,00",Eur / Kg. Canal,,31-05-2010
